Employee_ID,Survey_Date,Engagement_Score,Manager_Support_Score,Career_Growth_Score,Rewards_Score,Wellbeing_Score,Belonging_Score,eNPS_0_10,Anonymous_Comment
E00025,2026-06-30,74.4,52,90,89,41,95,1,Strong team culture
E00027,2025-06-30,64.8,93,48,42,65,78,8,Good manager support
E00027,2026-06-30,57.5,51,50,50,55,59,1,Need clearer career path
E00028,2026-06-30,57.1,81,49,51,47,77,5,Compensation could improve
E00030,2025-06-30,75.8,68,67,83,77,74,5,Workload is high
E00030,2026-06-30,72.3,69,68,84,71,69,10,Compensation could improve
E00032,2025-06-30,67.0,67,69,59,67,89,7,Compensation could improve
E00032,2026-06-30,53.0,72,64,56,54,68,7,Workload is high
E00033,2025-06-30,83.4,88,93,92,43,83,7,Strong team culture
E00033,2026-06-30,54.0,76,41,44,51,58,6,Good manager support
E00034,2025-06-30,67.9,57,82,43,51,89,2,Compensation could improve
E00034,2026-06-30,80.9,92,71,88,95,73,7,Need clearer career path
E00035,2025-06-30,56.8,48,69,51,67,62,1,Compensation could improve
E00035,2026-06-30,64.8,47,48,69,43,97,0,Strong team culture
E00036,2025-06-30,79.8,53,62,79,90,67,0,Need clearer career path
E00036,2026-06-30,79.2,78,91,48,96,81,6,Need clearer career path
E00037,2025-06-30,62.8,94,55,47,51,72,8,Happy with flexibility
E00037,2026-06-30,75.5,93,57,51,86,55,7,No comment
E00038,2025-06-30,60.8,68,43,70,55,53,6,Compensation could improve
E00038,2026-06-30,82.6,93,81,73,56,96,10,Happy with flexibility
E00040,2026-06-30,68.8,77,58,66,52,98,8,Good manager support
E00041,2025-06-30,62.7,62,63,53,51,74,1,Strong team culture
E00041,2026-06-30,79.4,75,61,89,50,83,3,Happy with flexibility
E00043,2026-06-30,65.6,49,81,38,90,47,2,Good manager support
E00044,2025-06-30,75.2,80,45,48,93,93,1,Happy with flexibility
E00044,2026-06-30,65.5,75,60,55,94,49,8,Need more learning opportunities
E00045,2025-06-30,72.0,64,49,75,86,87,0,Need clearer career path
E00045,2026-06-30,63.9,85,68,40,79,82,5,Compensation could improve
E00046,2025-06-30,61.7,52,40,74,91,73,3,Happy with flexibility
E00046,2026-06-30,67.5,45,55,53,94,70,10,Strong team culture
E00047,2025-06-30,85.2,95,66,85,94,62,2,Need clearer career path
E00047,2026-06-30,50.4,45,60,83,44,71,2,Good manager support
E00048,2025-06-30,61.9,69,44,75,83,55,3,Happy with flexibility
E00048,2026-06-30,74.4,91,81,87,58,64,10,Good manager support
E00049,2025-06-30,59.1,69,71,69,78,49,9,Strong team culture
E00049,2026-06-30,71.4,89,69,75,43,75,4,Need more learning opportunities
E00050,2025-06-30,82.7,91,92,66,87,53,2,Happy with flexibility
E00050,2026-06-30,51.5,47,74,45,44,48,7,Happy with flexibility
E00051,2025-06-30,72.3,86,84,49,67,79,5,Good manager support
E00051,2026-06-30,57.7,77,44,46,80,49,7,Good manager support
E00052,2025-06-30,73.5,67,62,75,89,72,3,No comment
E00052,2026-06-30,68.5,60,59,57,91,70,6,Strong team culture
E00053,2025-06-30,69.0,91,81,74,45,81,6,Workload is high
E00053,2026-06-30,68.7,86,55,40,69,87,1,Happy with flexibility
E00055,2025-06-30,81.6,90,88,67,73,78,8,Happy with flexibility
E00055,2026-06-30,62.7,60,88,42,50,85,2,Strong team culture
E00056,2025-06-30,76.2,45,95,83,40,80,10,Workload is high
E00056,2026-06-30,68.3,58,57,91,40,67,10,Need clearer career path
E00057,2025-06-30,68.3,79,40,80,62,80,6,Compensation could improve
E00057,2026-06-30,57.0,46,81,47,50,58,8,Strong team culture
E00058,2025-06-30,66.4,77,46,39,83,62,10,Compensation could improve
E00058,2026-06-30,58.0,92,71,48,51,59,0,Happy with flexibility
E00059,2026-06-30,52.4,56,49,64,42,70,1,No comment
E00060,2025-06-30,73.1,60,71,66,79,96,7,Happy with flexibility
E00060,2026-06-30,81.4,83,41,83,89,88,10,Happy with flexibility
E00061,2025-06-30,66.7,59,68,62,90,63,4,No comment
E00061,2026-06-30,63.0,59,77,55,96,46,7,No comment
E00063,2025-06-30,60.0,86,61,53,41,76,4,No comment
E00063,2026-06-30,63.6,75,53,38,91,69,10,No comment
E00064,2025-06-30,63.2,54,80,57,60,48,8,Happy with flexibility
E00064,2026-06-30,72.0,59,84,73,65,81,9,Happy with flexibility
E00066,2025-06-30,78.7,90,66,68,86,89,7,Happy with flexibility
E00066,2026-06-30,60.7,79,67,41,43,57,0,Happy with flexibility
E00067,2025-06-30,63.9,75,69,62,48,73,9,No comment
E00067,2026-06-30,53.0,46,41,42,75,57,8,No comment
E00069,2025-06-30,78.2,72,65,74,65,85,7,Workload is high
E00069,2026-06-30,67.8,52,59,78,91,66,3,Need more learning opportunities
E00071,2025-06-30,76.4,80,54,83,41,84,6,Good manager support
E00071,2026-06-30,66.6,50,93,64,60,73,4,Strong team culture
E00072,2025-06-30,62.5,61,68,48,67,93,8,Good manager support
E00072,2026-06-30,66.9,89,67,66,46,62,5,Need clearer career path
E00074,2025-06-30,71.7,61,60,53,81,84,3,Strong team culture
E00074,2026-06-30,85.9,92,81,87,75,92,8,Need clearer career path
E00075,2025-06-30,84.2,77,59,79,86,93,0,Need more learning opportunities
E00075,2026-06-30,68.9,67,73,45,96,62,4,Need clearer career path
E00076,2026-06-30,64.0,57,67,77,44,68,1,Workload is high
E00077,2025-06-30,79.5,91,47,84,80,66,5,Need more learning opportunities
E00077,2026-06-30,78.7,91,48,69,68,94,2,Good manager support
E00078,2025-06-30,60.9,46,63,61,60,77,1,Happy with flexibility
E00078,2026-06-30,68.6,89,84,65,43,84,7,Need more learning opportunities
E00079,2025-06-30,61.5,92,40,48,65,84,5,No comment
E00079,2026-06-30,66.2,77,50,85,55,83,9,Need more learning opportunities
E00080,2025-06-30,78.2,70,48,80,72,94,10,No comment
E00080,2026-06-30,74.2,88,60,84,86,45,10,No comment
E00081,2025-06-30,73.6,81,90,72,58,72,3,Need clearer career path
E00081,2026-06-30,64.0,73,43,44,93,79,4,Good manager support
E00083,2025-06-30,68.8,90,45,61,88,62,1,Compensation could improve
E00083,2026-06-30,55.1,59,68,53,43,68,10,Happy with flexibility
E00084,2025-06-30,62.6,85,91,39,49,64,10,Compensation could improve
E00084,2026-06-30,53.4,54,49,62,44,73,7,Need clearer career path
E00085,2025-06-30,60.0,46,47,75,69,51,9,Workload is high
E00085,2026-06-30,61.2,63,59,80,42,63,6,No comment
E00086,2026-06-30,65.0,73,73,85,80,45,4,Need clearer career path
E00087,2025-06-30,72.7,88,74,45,75,78,0,Happy with flexibility
E00087,2026-06-30,68.6,92,66,40,64,76,0,Workload is high
E00088,2025-06-30,73.1,47,44,69,87,87,5,Need clearer career path
E00088,2026-06-30,68.2,72,82,64,45,76,2,Need clearer career path
E00089,2025-06-30,63.5,50,85,49,74,61,3,Need clearer career path
E00089,2026-06-30,63.4,48,64,65,72,64,5,Workload is high
E00090,2025-06-30,62.6,89,61,48,90,45,4,No comment
E00090,2026-06-30,66.0,70,60,51,69,61,0,Compensation could improve
E00091,2025-06-30,61.3,70,43,86,42,74,9,Good manager support
E00091,2026-06-30,76.4,88,50,87,51,80,1,Compensation could improve
E00092,2025-06-30,74.2,95,77,79,60,90,10,Strong team culture
E00092,2026-06-30,65.7,50,95,75,44,55,4,Need more learning opportunities
E00093,2025-06-30,80.7,82,55,75,81,86,6,Strong team culture
E00093,2026-06-30,74.1,94,74,89,63,54,6,Need more learning opportunities
E00094,2025-06-30,77.7,95,59,90,86,80,9,Compensation could improve
E00094,2026-06-30,56.3,46,50,42,80,70,9,Strong team culture
E00095,2026-06-30,62.7,76,92,39,79,70,6,Strong team culture
E00096,2025-06-30,78.9,75,95,91,56,84,5,Happy with flexibility
E00096,2026-06-30,55.4,45,48,66,50,61,5,Need clearer career path
E00098,2025-06-30,50.8,48,42,43,42,75,0,Workload is high
E00099,2026-06-30,60.7,68,59,46,77,59,0,Happy with flexibility
E00100,2025-06-30,74.3,80,78,50,59,61,6,No comment
E00100,2026-06-30,65.6,48,55,52,71,87,6,No comment
E00103,2025-06-30,72.4,61,45,87,96,83,1,Need more learning opportunities
E00103,2026-06-30,60.7,51,75,62,41,62,3,Good manager support
E00104,2025-06-30,66.1,84,52,87,59,51,0,Compensation could improve
E00104,2026-06-30,61.1,49,87,63,52,60,2,Need more learning opportunities
E00105,2025-06-30,68.3,50,77,81,62,66,2,No comment
E00105,2026-06-30,73.9,79,73,90,64,65,10,Need clearer career path
E00106,2025-06-30,67.4,56,66,66,72,60,1,Compensation could improve
E00106,2026-06-30,73.2,86,72,49,57,81,3,Strong team culture
E00107,2025-06-30,68.0,55,73,77,93,57,2,Compensation could improve
E00109,2025-06-30,72.9,65,89,71,56,79,3,Workload is high
E00109,2026-06-30,66.8,47,82,91,47,53,2,Good manager support
E00110,2025-06-30,84.2,92,63,88,84,64,9,Good manager support
E00110,2026-06-30,61.4,78,51,47,40,91,5,Good manager support
E00111,2025-06-30,64.0,78,82,49,52,67,5,Need clearer career path
E00111,2026-06-30,57.0,76,66,45,73,45,9,Happy with flexibility
E00112,2025-06-30,65.7,87,74,47,59,65,9,Strong team culture
E00112,2026-06-30,59.2,63,58,49,54,63,4,Good manager support
E00113,2025-06-30,66.7,48,83,65,40,56,6,Compensation could improve
E00113,2026-06-30,72.6,52,74,70,73,90,2,Compensation could improve
E00116,2025-06-30,62.9,57,41,67,55,88,2,Good manager support
E00116,2026-06-30,64.2,66,49,40,89,85,10,Strong team culture
E00117,2025-06-30,68.0,56,40,65,88,91,10,Need clearer career path
E00117,2026-06-30,58.0,84,53,52,48,71,1,Strong team culture
E00118,2025-06-30,74.6,72,92,74,62,88,7,Need clearer career path
E00118,2026-06-30,72.5,63,62,73,56,85,8,Workload is high
E00119,2025-06-30,77.8,57,80,71,93,80,2,Happy with flexibility
E00119,2026-06-30,55.9,68,61,41,46,57,8,No comment
E00120,2025-06-30,75.9,71,89,59,78,65,3,Workload is high
E00120,2026-06-30,75.5,45,43,80,88,97,8,Happy with flexibility
E00121,2025-06-30,67.8,70,66,64,74,85,5,Good manager support
E00121,2026-06-30,71.7,48,93,75,78,66,4,No comment
E00122,2026-06-30,73.3,68,60,66,96,89,1,Need more learning opportunities
E00123,2025-06-30,72.1,74,87,78,40,69,8,Strong team culture
E00123,2026-06-30,63.6,65,75,68,47,47,1,No comment
E00124,2025-06-30,75.5,67,85,80,92,88,8,Strong team culture
E00124,2026-06-30,74.5,63,53,62,93,76,1,Workload is high
E00125,2025-06-30,50.7,53,44,63,48,75,6,Workload is high
E00125,2026-06-30,77.9,71,78,86,67,59,10,Compensation could improve
E00127,2025-06-30,70.9,54,57,67,87,94,0,Need clearer career path
E00127,2026-06-30,65.9,62,88,45,69,55,6,Strong team culture
E00128,2025-06-30,72.9,78,59,46,87,70,5,Need clearer career path
E00128,2026-06-30,69.2,66,56,86,69,73,6,Workload is high
E00131,2025-06-30,70.7,62,67,38,81,97,5,Workload is high
E00131,2026-06-30,61.4,73,40,38,72,53,6,No comment
E00132,2025-06-30,62.8,45,47,83,57,88,10,Compensation could improve
E00132,2026-06-30,75.1,89,84,55,85,66,5,Strong team culture
E00134,2025-06-30,60.5,52,65,64,49,73,6,Workload is high
E00134,2026-06-30,76.6,90,84,73,69,62,0,Need clearer career path
E00135,2025-06-30,68.0,77,59,84,47,87,7,Good manager support
E00135,2026-06-30,76.5,94,56,58,96,75,6,Workload is high
E00136,2025-06-30,72.5,95,87,87,45,59,0,Workload is high
E00136,2026-06-30,79.3,81,94,90,81,58,0,No comment
E00137,2025-06-30,56.4,55,50,39,60,65,3,Happy with flexibility
E00137,2026-06-30,83.0,95,73,85,82,84,8,Need clearer career path
E00138,2026-06-30,62.1,88,60,81,56,47,8,Need clearer career path
E00139,2025-06-30,68.7,71,86,55,69,74,3,Good manager support
E00139,2026-06-30,52.4,69,45,52,53,48,5,Happy with flexibility
E00140,2025-06-30,67.8,82,79,71,61,84,8,Workload is high
E00140,2026-06-30,69.4,74,95,79,52,45,3,Compensation could improve
E00142,2025-06-30,64.9,54,58,44,76,59,1,Need clearer career path
E00142,2026-06-30,53.8,53,75,56,44,53,1,Need clearer career path
E00144,2025-06-30,72.3,82,93,47,55,80,5,No comment
E00144,2026-06-30,68.3,93,75,84,60,46,10,Compensation could improve
E00145,2025-06-30,61.0,89,50,48,41,75,10,Need clearer career path
E00145,2026-06-30,63.5,85,73,51,69,52,7,Need more learning opportunities
E00146,2025-06-30,70.8,87,41,62,92,66,1,Need clearer career path
E00146,2026-06-30,59.6,66,55,64,50,74,3,Compensation could improve
E00147,2025-06-30,69.9,86,76,43,51,89,5,Good manager support
E00147,2026-06-30,68.6,68,65,73,41,93,3,Happy with flexibility
E00148,2025-06-30,62.0,86,45,54,55,76,10,Happy with flexibility
E00148,2026-06-30,80.7,87,76,87,77,91,1,Strong team culture
E00150,2025-06-30,69.6,75,91,49,49,87,8,Need more learning opportunities
E00150,2026-06-30,63.0,58,69,70,50,49,10,Need more learning opportunities
E00151,2025-06-30,82.5,61,95,48,93,98,3,Happy with flexibility
E00151,2026-06-30,75.2,81,79,74,78,49,9,Need more learning opportunities
E00152,2025-06-30,68.6,55,55,53,72,84,2,Compensation could improve
E00152,2026-06-30,63.7,57,56,77,40,49,7,Compensation could improve
E00153,2025-06-30,71.7,70,81,90,43,66,7,Good manager support
E00153,2026-06-30,73.4,87,52,68,86,92,1,Workload is high
E00155,2025-06-30,68.9,76,69,56,49,79,6,Workload is high
E00155,2026-06-30,59.1,54,91,43,48,53,3,Need clearer career path
E00156,2025-06-30,69.7,83,78,48,54,83,1,Happy with flexibility
E00156,2026-06-30,67.3,51,43,78,85,75,9,Happy with flexibility
E00157,2025-06-30,63.0,60,68,92,95,57,2,Happy with flexibility
E00157,2026-06-30,84.8,90,56,76,91,95,9,Strong team culture
E00158,2025-06-30,58.4,77,88,40,75,82,1,Workload is high
E00159,2025-06-30,69.3,91,84,45,41,70,8,Happy with flexibility
E00159,2026-06-30,48.5,48,57,57,54,60,4,Need clearer career path
E00160,2025-06-30,66.3,74,40,90,65,63,6,Happy with flexibility
E00160,2026-06-30,70.4,65,49,74,90,56,5,Need more learning opportunities
E00162,2025-06-30,88.1,65,85,91,87,66,4,Happy with flexibility
E00162,2026-06-30,62.4,81,84,66,42,69,1,No comment
E00163,2026-06-30,73.1,93,81,47,47,91,2,Compensation could improve
E00164,2025-06-30,56.6,62,81,59,40,57,9,Strong team culture
E00164,2026-06-30,72.8,86,72,59,54,98,8,Good manager support
E00167,2026-06-30,84.6,89,48,82,76,65,6,Need clearer career path
E00168,2025-06-30,58.8,45,69,52,95,69,9,Need more learning opportunities
E00168,2026-06-30,65.0,61,83,90,44,74,6,Compensation could improve
E00169,2026-06-30,66.1,72,40,80,81,53,7,Need more learning opportunities
E00171,2025-06-30,56.9,91,51,81,49,64,6,Good manager support
E00171,2026-06-30,71.5,85,57,79,72,73,0,Compensation could improve
E00172,2025-06-30,79.1,93,93,40,83,96,7,Compensation could improve
E00172,2026-06-30,61.8,69,41,67,93,55,9,Workload is high
E00173,2025-06-30,73.9,75,83,65,47,92,6,Need clearer career path
E00173,2026-06-30,60.8,63,83,44,42,68,8,Need clearer career path
E00174,2025-06-30,60.6,51,71,67,47,68,7,Workload is high
E00174,2026-06-30,70.8,66,83,74,83,50,1,No comment
E00175,2025-06-30,58.2,79,67,78,54,49,8,Good manager support
E00175,2026-06-30,69.8,56,84,59,62,72,8,Good manager support
E00176,2025-06-30,59.5,53,87,85,52,45,6,Strong team culture
E00178,2025-06-30,78.8,48,87,71,89,69,1,Good manager support
E00178,2026-06-30,76.2,65,93,58,90,98,5,Compensation could improve
E00179,2026-06-30,59.9,45,49,44,82,58,0,No comment
E00180,2025-06-30,79.0,75,82,90,91,73,8,Compensation could improve
E00180,2026-06-30,71.0,51,69,90,46,68,9,Workload is high
E00181,2025-06-30,70.2,75,90,76,83,60,4,No comment
E00181,2026-06-30,76.5,86,64,80,73,84,9,Compensation could improve
E00182,2025-06-30,62.5,70,60,38,59,68,6,Good manager support
E00182,2026-06-30,67.7,63,41,65,69,68,7,Good manager support
E00183,2025-06-30,67.2,64,61,57,50,83,1,Strong team culture
E00183,2026-06-30,67.2,56,89,65,77,45,5,Compensation could improve
E00187,2025-06-30,55.5,65,60,43,45,59,6,No comment
E00187,2026-06-30,69.6,90,49,80,43,92,4,Need clearer career path
E00188,2026-06-30,79.9,74,84,47,94,69,1,Need more learning opportunities
E00189,2025-06-30,63.6,53,76,42,82,91,3,No comment
E00189,2026-06-30,51.2,53,49,58,48,57,10,Need clearer career path
E00190,2025-06-30,56.2,60,61,55,64,49,7,Good manager support
E00190,2026-06-30,52.5,55,61,38,81,64,10,Happy with flexibility
E00191,2025-06-30,69.5,46,44,76,71,95,9,Workload is high
E00191,2026-06-30,69.5,81,81,66,40,90,3,Workload is high
E00192,2025-06-30,67.2,85,57,57,52,72,9,Compensation could improve
E00192,2026-06-30,53.8,52,94,44,69,48,9,Need more learning opportunities
E00193,2025-06-30,52.5,45,66,40,59,87,1,Strong team culture
E00193,2026-06-30,82.3,75,84,82,87,67,6,No comment
E00194,2026-06-30,57.1,54,40,74,64,45,4,Strong team culture
E00195,2025-06-30,77.7,80,47,70,96,97,10,Happy with flexibility
E00195,2026-06-30,80.2,60,91,69,72,73,10,Need more learning opportunities
E00196,2026-06-30,53.9,79,42,53,43,59,9,Compensation could improve
E00197,2025-06-30,76.1,66,78,92,56,82,7,Good manager support
E00197,2026-06-30,71.8,74,76,57,96,75,3,Need clearer career path
E00198,2026-06-30,64.7,63,77,73,72,66,3,Need more learning opportunities
E00199,2025-06-30,74.5,52,93,89,88,68,9,Good manager support
E00199,2026-06-30,85.8,71,91,88,79,81,10,Happy with flexibility
E00200,2025-06-30,60.8,53,52,60,81,56,3,Strong team culture
E00200,2026-06-30,56.8,56,67,61,67,52,0,Workload is high
E00201,2025-06-30,57.5,54,75,47,85,75,1,Need more learning opportunities
E00201,2026-06-30,72.1,72,57,71,55,97,9,Strong team culture
E00202,2025-06-30,54.2,49,53,56,40,87,8,Happy with flexibility
E00202,2026-06-30,70.8,78,90,55,57,54,8,Need clearer career path
E00203,2025-06-30,44.0,48,45,39,44,73,8,Good manager support
E00203,2026-06-30,70.0,88,81,63,52,52,5,No comment
E00204,2025-06-30,75.1,95,88,90,48,46,3,Happy with flexibility
E00204,2026-06-30,67.7,70,66,47,59,75,1,Workload is high
E00205,2025-06-30,69.9,71,58,57,94,72,1,Need clearer career path
E00205,2026-06-30,53.3,48,73,63,59,53,7,No comment
E00206,2025-06-30,70.9,93,44,61,45,79,7,Need more learning opportunities
E00206,2026-06-30,63.5,80,45,53,48,85,8,Happy with flexibility
E00207,2025-06-30,63.9,45,55,69,84,67,6,Workload is high
E00208,2025-06-30,77.2,78,58,58,79,92,6,Happy with flexibility
E00208,2026-06-30,59.8,70,75,87,50,61,8,Need more learning opportunities
E00209,2025-06-30,74.0,93,86,44,55,79,6,Good manager support
E00209,2026-06-30,71.7,51,93,85,66,84,9,Need clearer career path
E00210,2025-06-30,70.4,69,57,71,87,57,9,Need clearer career path
E00210,2026-06-30,82.9,62,64,80,93,96,0,Happy with flexibility
E00212,2025-06-30,76.4,54,68,86,93,88,2,Need more learning opportunities
E00212,2026-06-30,64.6,69,59,50,79,79,1,Strong team culture
E00213,2025-06-30,59.7,59,92,45,77,66,5,No comment
E00213,2026-06-30,73.5,91,44,72,69,76,3,Happy with flexibility
E00214,2025-06-30,72.8,92,64,69,43,70,10,Need clearer career path
E00214,2026-06-30,84.1,93,91,55,48,85,0,Strong team culture
E00215,2025-06-30,68.9,92,66,76,41,65,8,Good manager support
E00215,2026-06-30,65.7,81,47,90,81,46,10,Need clearer career path
E00216,2025-06-30,62.0,49,48,56,90,55,10,Good manager support
E00216,2026-06-30,62.8,46,42,57,65,96,8,Need more learning opportunities
E00217,2025-06-30,66.2,73,52,45,79,81,8,Good manager support
E00217,2026-06-30,64.5,47,69,80,45,78,8,Good manager support
E00218,2025-06-30,74.8,78,89,74,64,96,3,No comment
E00218,2026-06-30,68.0,90,40,59,76,54,6,Happy with flexibility
E00219,2025-06-30,68.2,51,86,76,60,74,8,Compensation could improve
E00219,2026-06-30,77.4,71,87,66,68,92,1,Strong team culture
E00221,2025-06-30,57.5,69,62,70,53,51,5,Need more learning opportunities
E00221,2026-06-30,67.4,68,66,49,88,53,4,Need more learning opportunities
E00223,2026-06-30,78.3,66,87,58,63,87,5,Compensation could improve
E00224,2025-06-30,63.8,61,79,49,46,72,6,Need more learning opportunities
E00224,2026-06-30,63.8,57,85,62,49,57,3,Need clearer career path
E00225,2025-06-30,75.2,70,95,55,88,74,8,Workload is high
E00225,2026-06-30,64.0,86,63,47,54,77,6,Good manager support
E00226,2025-06-30,82.2,80,94,80,71,76,8,Good manager support
E00226,2026-06-30,67.2,74,76,86,82,61,5,Need clearer career path
E00229,2025-06-30,74.4,56,73,77,89,90,7,Strong team culture
E00229,2026-06-30,67.6,46,88,45,94,62,0,Happy with flexibility
E00230,2025-06-30,76.0,77,90,69,69,79,1,Happy with flexibility
E00230,2026-06-30,55.1,47,94,53,57,62,7,Happy with flexibility
E00231,2025-06-30,57.1,77,41,46,62,80,6,Need more learning opportunities
E00231,2026-06-30,67.0,58,68,76,50,45,4,Strong team culture
E00232,2025-06-30,73.2,78,51,80,77,96,0,Need clearer career path
E00232,2026-06-30,53.9,80,55,43,65,57,3,Strong team culture
E00233,2025-06-30,62.7,86,62,56,84,60,3,Workload is high
E00233,2026-06-30,75.0,54,89,92,60,52,2,Need clearer career path
E00234,2025-06-30,73.5,60,55,85,96,53,7,Need more learning opportunities
E00234,2026-06-30,63.2,77,91,55,62,79,7,Happy with flexibility
E00235,2025-06-30,59.7,57,84,58,64,57,1,Workload is high
E00235,2026-06-30,61.0,80,40,40,72,64,9,Need more learning opportunities
E00236,2025-06-30,65.0,74,67,88,70,49,5,Good manager support
E00236,2026-06-30,70.1,68,61,77,85,51,3,Workload is high
E00237,2025-06-30,63.9,63,85,69,48,50,10,No comment
E00237,2026-06-30,65.4,60,59,58,45,86,4,Compensation could improve
E00238,2026-06-30,69.5,68,42,88,92,51,1,Happy with flexibility
E00240,2025-06-30,71.9,79,59,86,55,75,9,Need more learning opportunities
E00240,2026-06-30,62.1,51,64,47,83,56,7,Workload is high
E00241,2025-06-30,59.5,56,59,56,53,49,2,Good manager support
E00241,2026-06-30,70.0,75,92,67,69,59,8,No comment
E00242,2025-06-30,79.1,92,79,84,56,59,6,No comment
E00242,2026-06-30,69.0,49,55,79,70,89,8,Need more learning opportunities
E00243,2025-06-30,70.4,76,63,67,71,67,5,Good manager support
E00243,2026-06-30,62.3,52,95,61,56,52,7,Need clearer career path
E00244,2025-06-30,52.4,74,60,48,44,45,7,Happy with flexibility
E00244,2026-06-30,64.1,68,62,66,69,49,3,Workload is high
E00245,2025-06-30,74.6,52,87,54,71,95,8,Need clearer career path
E00245,2026-06-30,83.5,70,63,76,87,87,1,Strong team culture
E00246,2025-06-30,88.6,78,94,87,59,90,1,Workload is high
E00246,2026-06-30,53.2,70,52,52,46,69,5,Compensation could improve
E00247,2026-06-30,64.1,83,90,46,51,58,2,Compensation could improve
E00248,2025-06-30,71.1,90,64,51,89,66,5,Need more learning opportunities
E00248,2026-06-30,74.4,49,87,57,73,96,0,Good manager support
E00249,2025-06-30,79.9,80,61,90,79,77,4,Strong team culture
E00249,2026-06-30,60.9,61,51,42,59,70,3,No comment
E00250,2025-06-30,76.4,95,70,58,61,65,8,Need clearer career path
E00250,2026-06-30,56.5,64,78,75,49,46,0,Happy with flexibility
E00251,2025-06-30,61.9,83,59,60,61,45,5,Workload is high
E00251,2026-06-30,74.5,79,50,58,61,94,3,Workload is high
E00252,2025-06-30,80.5,61,59,84,94,96,10,Need more learning opportunities
E00253,2025-06-30,72.4,53,56,46,81,94,2,Workload is high
E00253,2026-06-30,67.5,85,48,75,58,97,6,Workload is high
E00254,2025-06-30,75.1,58,78,51,94,55,10,Compensation could improve
E00254,2026-06-30,73.7,73,68,91,84,76,1,Need clearer career path
E00255,2025-06-30,63.7,91,81,44,57,71,0,Strong team culture
E00255,2026-06-30,66.6,65,88,82,46,48,4,Compensation could improve
E00256,2025-06-30,82.2,73,72,73,79,75,3,Workload is high
E00256,2026-06-30,75.9,78,60,60,94,93,2,Good manager support
E00257,2025-06-30,68.9,65,48,43,93,91,3,Compensation could improve
E00257,2026-06-30,72.8,88,73,85,66,66,8,No comment
E00259,2025-06-30,58.8,45,84,50,48,50,1,Need clearer career path
E00259,2026-06-30,67.1,67,77,56,59,52,10,Need more learning opportunities
E00260,2025-06-30,65.2,86,75,66,49,71,9,No comment
E00260,2026-06-30,76.9,83,71,46,85,93,2,Compensation could improve
E00261,2025-06-30,65.0,66,66,67,62,60,6,Happy with flexibility
E00261,2026-06-30,70.4,79,52,60,81,75,10,Strong team culture
E00262,2025-06-30,56.0,58,49,55,87,85,6,Happy with flexibility
