Employee_ID,Exit_Date,Voluntary_Flag,Primary_Exit_Reason,Exit_Interview_Satisfaction_1_5,Manager_Relationship_1_5,Would_Rejoin,Regrettable_Attrition,Destination
E00715,2023-07-18,Yes,Compensation,5,5,Yes,No,Higher Education
E00718,2023-06-25,Yes,Career Growth,4,2,Yes,Yes,Unknown
E00725,2023-01-23,No,Performance,4,4,No,Yes,Higher Education
E00729,2025-10-23,Yes,Work-Life Balance,3,2,No,Yes,Higher Education
E00736,2026-07-07,Yes,Career Growth,5,5,No,No,Startup
E00743,2022-08-26,Yes,Relocation,3,3,No,No,Startup
E00762,2025-02-10,No,Contract End,2,5,Yes,No,Career Break
E00780,2022-02-18,Yes,Work-Life Balance,3,1,Yes,Yes,Competitor
E00789,2026-06-08,No,Performance,2,4,No,Yes,Career Break
E00791,2025-01-22,Yes,Work-Life Balance,2,1,Yes,Yes,Career Break
E00804,2018-05-29,Yes,Compensation,5,3,No,Yes,Higher Education
E00812,2026-07-02,No,Contract End,5,4,Yes,Yes,Competitor
E00818,2023-11-03,Yes,Work-Life Balance,4,2,Yes,Yes,Higher Education
E00821,2020-11-03,Yes,Better Opportunity,1,1,No,Yes,Career Break
E00822,2026-07-30,Yes,Manager,3,5,No,Yes,Competitor
E00832,2026-03-10,Yes,Career Growth,5,5,No,Yes,Higher Education
E00839,2018-04-01,Yes,Manager,5,3,Yes,Yes,Competitor
E00850,2022-05-11,No,Policy Violation,2,4,Yes,No,Career Break
E00851,2024-12-01,Yes,Better Opportunity,2,4,No,No,Competitor
E00855,2024-06-04,Yes,Better Opportunity,4,2,Yes,No,Competitor
E00856,2026-04-29,No,Performance,5,2,No,Yes,Unknown
E00860,2025-12-18,No,Contract End,2,1,No,No,Startup
E00865,2022-09-07,Yes,Compensation,4,1,Yes,No,Career Break
E00869,2018-10-19,Yes,Career Growth,1,3,Yes,Yes,Career Break
E00874,2023-03-16,No,Contract End,2,3,Yes,Yes,Startup
E00889,2022-08-31,Yes,Manager,3,2,Yes,Yes,Higher Education
E00899,2025-04-18,Yes,Better Opportunity,3,3,Yes,No,Competitor
E00901,2026-02-18,No,Contract End,2,5,Yes,No,Unknown
E00903,2024-10-26,No,Restructuring,1,4,No,No,Competitor
E00908,2019-09-22,Yes,Relocation,1,1,No,No,Startup
E00918,2021-11-19,Yes,Career Growth,1,1,No,No,Higher Education
E00965,2025-12-26,Yes,Career Growth,3,5,Yes,Yes,Competitor
E00978,2022-08-29,No,Policy Violation,1,2,No,Yes,Startup
E00987,2025-05-16,Yes,Career Growth,4,1,Yes,No,Unknown
E00989,2026-03-03,Yes,Better Opportunity,3,3,Yes,Yes,Higher Education
E00996,2026-06-27,Yes,Better Opportunity,4,5,No,Yes,Competitor
E01002,2026-04-12,Yes,Work-Life Balance,3,4,No,No,Competitor
E01016,2026-08-21,No,Contract End,2,2,Yes,Yes,Competitor
E01023,2025-06-08,Yes,Career Growth,1,4,Yes,No,Competitor
E01031,2023-03-20,Yes,Relocation,5,4,No,No,Competitor
E01050,2025-04-15,No,Policy Violation,4,5,No,No,Career Break
E01065,2022-07-02,Yes,Work-Life Balance,1,3,No,Yes,Higher Education
E01067,2023-05-14,Yes,Career Growth,1,1,Yes,Yes,Unknown
E01068,2024-06-24,No,Policy Violation,4,1,Yes,Yes,Higher Education
E01074,2021-07-02,Yes,Work-Life Balance,4,1,No,No,Competitor
E01077,2022-06-17,Yes,Career Growth,1,4,No,Yes,Higher Education
E01084,2023-10-11,No,Policy Violation,3,3,Yes,Yes,Career Break
E01088,2026-07-23,Yes,Compensation,1,4,No,Yes,Unknown
E01096,2024-08-31,No,Policy Violation,5,1,Yes,Yes,Startup
E01099,2026-04-16,No,Contract End,4,3,No,No,Career Break
E01103,2024-01-21,Yes,Manager,3,2,No,Yes,Competitor
E01105,2026-05-13,Yes,Better Opportunity,2,1,No,No,Unknown
E01118,2021-05-15,Yes,Manager,5,3,No,Yes,Career Break
E01122,2023-11-27,No,Restructuring,5,1,No,No,Higher Education
E01126,2024-01-28,No,Performance,4,5,Yes,No,Competitor
E01127,2026-03-27,Yes,Better Opportunity,3,1,No,Yes,Startup
E01132,2023-06-30,Yes,Work-Life Balance,3,2,No,Yes,Career Break
E01135,2026-07-12,Yes,Relocation,1,1,Yes,No,Unknown
E01143,2019-06-30,Yes,Relocation,2,1,No,Yes,Competitor
E01156,2026-03-10,No,Restructuring,2,4,No,Yes,Unknown
E01161,2025-07-07,Yes,Work-Life Balance,4,1,Yes,No,Higher Education
E01162,2026-05-07,Yes,Better Opportunity,2,5,Yes,No,Unknown
E01163,2023-03-06,Yes,Manager,5,1,Yes,Yes,Career Break
E01166,2023-06-26,No,Policy Violation,3,5,No,No,Unknown
E01171,2026-02-02,Yes,Work-Life Balance,3,3,No,No,Higher Education
E01178,2022-02-22,No,Contract End,3,3,No,No,Career Break
E01191,2021-02-15,No,Policy Violation,4,3,No,No,Startup
E01201,2023-10-05,Yes,Relocation,3,5,No,Yes,Career Break
E01203,2020-09-27,Yes,Relocation,3,5,No,Yes,Career Break
E01204,2020-08-15,Yes,Work-Life Balance,1,5,No,Yes,Competitor
E01209,2024-06-11,Yes,Better Opportunity,2,3,No,Yes,Unknown
E01211,2025-03-08,No,Policy Violation,4,1,Yes,No,Competitor
E01225,2020-05-12,Yes,Work-Life Balance,1,5,Yes,No,Startup
E01228,2025-01-27,Yes,Relocation,2,1,No,No,Career Break
E01240,2023-12-03,Yes,Manager,5,2,No,Yes,Higher Education
E01242,2026-05-08,Yes,Compensation,5,4,Yes,No,Unknown
E01248,2023-07-23,No,Policy Violation,2,4,No,No,Career Break
E01250,2025-12-15,Yes,Compensation,4,4,Yes,Yes,Career Break
E01255,2022-09-10,Yes,Relocation,2,2,Yes,Yes,Career Break
E01281,2026-02-23,No,Performance,5,1,No,No,Higher Education
E01295,2023-04-18,No,Policy Violation,1,2,No,No,Competitor
E01306,2026-02-18,Yes,Better Opportunity,3,3,Yes,Yes,Unknown
E01310,2020-10-25,Yes,Better Opportunity,4,3,Yes,No,Higher Education
E01312,2025-06-18,Yes,Manager,5,5,Yes,Yes,Competitor
E01315,2025-08-04,Yes,Better Opportunity,4,5,Yes,No,Competitor
E01321,2023-04-22,Yes,Relocation,1,4,No,No,Unknown
E01322,2018-07-22,No,Contract End,4,1,No,Yes,Competitor
E01325,2025-11-16,Yes,Relocation,5,2,Yes,Yes,Competitor
E01349,2024-01-13,Yes,Manager,2,1,No,No,Career Break
E01350,2021-07-02,No,Performance,5,5,Yes,No,Higher Education
E01360,2023-04-10,No,Restructuring,3,2,No,Yes,Higher Education
E01361,2021-03-21,No,Policy Violation,2,3,No,Yes,Competitor
E01364,2021-12-24,No,Contract End,4,5,No,No,Unknown
E01365,2024-01-08,No,Performance,5,1,Yes,No,Unknown
E01374,2026-08-05,Yes,Manager,3,4,No,Yes,Unknown
E01375,2024-08-22,Yes,Career Growth,3,3,Yes,Yes,Competitor
E01381,2026-05-26,Yes,Work-Life Balance,3,4,No,Yes,Unknown
E01387,2023-02-23,No,Contract End,5,3,No,No,Startup
E01391,2022-06-08,Yes,Relocation,2,1,Yes,Yes,Competitor
E01400,2024-11-30,No,Policy Violation,5,1,No,No,Competitor
E01412,2021-07-29,Yes,Relocation,5,1,No,No,Unknown
E01425,2025-10-03,No,Restructuring,3,2,No,No,Higher Education
E01430,2020-08-06,No,Policy Violation,1,1,Yes,Yes,Higher Education
E01446,2026-05-10,Yes,Career Growth,1,1,Yes,Yes,Career Break
E01451,2023-11-16,Yes,Compensation,5,4,Yes,Yes,Competitor
E01454,2024-07-17,Yes,Compensation,4,4,No,No,Competitor
E01462,2024-01-20,No,Restructuring,2,3,Yes,No,Unknown
E01478,2022-06-06,Yes,Work-Life Balance,5,4,No,No,Career Break
E01482,2025-07-15,Yes,Career Growth,1,4,Yes,No,Startup
E01483,2025-10-28,Yes,Manager,3,5,No,No,Higher Education
E01486,2022-05-28,Yes,Work-Life Balance,5,4,Yes,Yes,Startup
E01495,2018-03-10,Yes,Work-Life Balance,5,2,No,No,Career Break
E01501,2022-02-07,Yes,Career Growth,4,2,No,Yes,Career Break
E01504,2023-09-22,No,Policy Violation,4,4,No,No,Higher Education
E01509,2023-09-28,Yes,Better Opportunity,4,3,No,No,Unknown
E01511,2019-01-06,Yes,Career Growth,4,2,Yes,No,Unknown
E01513,2026-04-12,Yes,Manager,5,4,Yes,Yes,Unknown
E01521,2024-03-01,Yes,Better Opportunity,4,4,No,No,Unknown
E01522,2024-11-10,Yes,Manager,1,4,Yes,No,Unknown
E01527,2019-11-09,No,Contract End,5,2,Yes,No,Career Break
E01534,2022-10-13,Yes,Relocation,3,3,No,Yes,Higher Education
E01535,2024-12-18,No,Contract End,5,1,No,No,Startup
E01536,2025-01-06,Yes,Career Growth,2,1,No,Yes,Startup
E01545,2024-04-04,Yes,Work-Life Balance,5,2,No,No,Career Break
E01547,2017-09-17,Yes,Manager,2,1,No,Yes,Startup
E01551,2023-11-28,Yes,Compensation,5,2,No,No,Competitor
E01555,2018-01-25,No,Policy Violation,1,4,Yes,Yes,Higher Education
E01560,2024-09-03,Yes,Manager,1,5,No,No,Career Break
E01567,2025-12-13,Yes,Compensation,2,5,No,Yes,Career Break
E01573,2024-06-27,No,Performance,3,4,No,No,Competitor
E01577,2017-11-25,No,Restructuring,2,1,Yes,Yes,Unknown
E01609,2018-05-15,Yes,Better Opportunity,1,1,No,Yes,Career Break
E01611,2022-05-25,Yes,Work-Life Balance,2,1,No,No,Higher Education
E01614,2022-11-28,No,Policy Violation,1,2,No,No,Startup
E01617,2023-06-25,Yes,Career Growth,3,4,Yes,No,Competitor
E01629,2026-07-08,Yes,Compensation,3,4,No,Yes,Startup
E01632,2024-12-07,Yes,Work-Life Balance,3,2,No,Yes,Career Break
E01636,2024-01-28,No,Policy Violation,2,3,Yes,Yes,Competitor
E01646,2025-05-31,Yes,Better Opportunity,2,2,Yes,Yes,Unknown
E01651,2023-08-18,Yes,Relocation,1,4,Yes,No,Career Break
E01653,2019-11-22,No,Policy Violation,4,3,No,No,Competitor
E01656,2022-12-10,Yes,Career Growth,5,4,Yes,No,Career Break
E01664,2025-03-02,Yes,Better Opportunity,1,5,Yes,Yes,Career Break
E01669,2025-07-19,Yes,Better Opportunity,3,4,Yes,No,Career Break
E01672,2023-05-01,No,Restructuring,3,5,No,No,Higher Education
E01683,2025-04-27,Yes,Better Opportunity,3,1,No,No,Startup
E01686,2025-08-28,Yes,Better Opportunity,5,5,No,Yes,Competitor
E01688,2022-09-02,Yes,Better Opportunity,4,4,Yes,No,Competitor
E01695,2025-09-12,Yes,Better Opportunity,2,1,No,No,Unknown
E01698,2024-06-15,Yes,Career Growth,3,2,Yes,No,Unknown
E01702,2022-11-12,Yes,Work-Life Balance,2,1,Yes,No,Career Break
E01707,2025-06-01,Yes,Work-Life Balance,5,4,No,No,Unknown
E01724,2020-01-23,No,Policy Violation,5,4,No,No,Startup
E01727,2026-07-07,No,Policy Violation,5,5,Yes,Yes,Career Break
E01745,2026-05-21,No,Policy Violation,2,1,Yes,Yes,Higher Education
E01751,2018-10-24,No,Restructuring,2,2,No,Yes,Career Break
E01757,2025-05-26,No,Contract End,1,2,Yes,No,Startup
E01785,2025-11-17,Yes,Relocation,4,1,Yes,No,Career Break
E01796,2023-09-07,Yes,Work-Life Balance,4,1,Yes,Yes,Unknown
E01800,2021-07-19,Yes,Manager,2,5,Yes,Yes,Startup
E01802,2023-10-07,Yes,Better Opportunity,3,5,Yes,Yes,Unknown
E01807,2026-08-22,Yes,Work-Life Balance,5,3,No,Yes,Higher Education
E01815,2021-11-12,Yes,Manager,5,4,No,No,Higher Education
E01817,2022-12-08,Yes,Compensation,3,1,No,Yes,Career Break
E01821,2022-05-14,Yes,Relocation,2,1,No,Yes,Startup
E01836,2025-10-17,Yes,Career Growth,1,3,No,Yes,Career Break
E01840,2025-05-09,Yes,Manager,2,2,Yes,No,Startup
E01841,2020-09-03,No,Policy Violation,3,1,Yes,Yes,Competitor
E01842,2025-12-27,No,Policy Violation,3,2,Yes,Yes,Unknown
E01844,2026-05-07,Yes,Career Growth,3,2,Yes,No,Startup
E01848,2020-11-11,Yes,Career Growth,2,3,No,Yes,Startup
E01850,2021-02-14,No,Policy Violation,2,4,Yes,No,Higher Education
E01854,2022-03-01,No,Performance,5,2,No,No,Competitor
E01858,2019-06-07,Yes,Relocation,1,4,No,Yes,Startup
E01859,2020-08-17,Yes,Relocation,2,4,No,No,Career Break
E01866,2025-07-13,Yes,Manager,2,2,No,Yes,Higher Education
E01876,2021-06-19,Yes,Better Opportunity,1,4,Yes,No,Unknown
E01880,2025-06-14,Yes,Work-Life Balance,5,4,No,Yes,Career Break
E01883,2025-07-15,No,Performance,5,3,Yes,Yes,Career Break
E01906,2025-02-28,Yes,Better Opportunity,5,1,Yes,Yes,Startup
E01914,2025-09-14,Yes,Relocation,2,4,Yes,No,Career Break
E01915,2018-07-13,Yes,Work-Life Balance,4,2,No,Yes,Career Break
E01917,2024-06-13,Yes,Manager,1,4,Yes,No,Higher Education
E01919,2026-03-12,Yes,Career Growth,1,3,Yes,No,Higher Education
E01920,2023-09-10,Yes,Work-Life Balance,3,3,Yes,No,Competitor
E01931,2019-09-21,Yes,Compensation,5,3,No,No,Career Break
E01947,2024-12-20,No,Contract End,3,5,No,No,Unknown
E01954,2023-06-28,Yes,Career Growth,3,4,Yes,No,Higher Education
E01967,2018-07-25,Yes,Compensation,1,1,Yes,No,Career Break
E01978,2026-01-23,No,Performance,2,1,No,Yes,Startup
E01984,2026-07-17,Yes,Career Growth,2,2,Yes,Yes,Startup
E01997,2025-04-09,Yes,Manager,2,2,No,No,Career Break
E01999,2022-03-16,No,Contract End,1,5,Yes,No,Career Break
E02004,2025-02-27,Yes,Compensation,3,1,No,Yes,Competitor
E02029,2021-09-14,Yes,Manager,3,5,No,No,Startup
E02032,2024-08-11,Yes,Relocation,5,3,Yes,No,Competitor
E02033,2024-06-24,Yes,Manager,1,4,Yes,Yes,Higher Education
E02034,2020-09-24,No,Policy Violation,4,1,No,Yes,Unknown
E02040,2021-05-02,No,Policy Violation,2,3,No,No,Higher Education
E02042,2025-10-26,Yes,Relocation,3,1,No,No,Higher Education
E02045,2026-02-01,Yes,Manager,3,4,Yes,Yes,Startup
E02049,2022-04-11,Yes,Manager,1,3,No,No,Unknown
E02053,2024-04-24,No,Policy Violation,4,5,Yes,No,Unknown
E02065,2022-08-25,Yes,Better Opportunity,2,3,Yes,No,Unknown
E02075,2025-05-17,Yes,Career Growth,3,4,Yes,No,Competitor
E02082,2023-02-04,Yes,Work-Life Balance,1,3,Yes,Yes,Career Break
E02097,2020-05-30,Yes,Better Opportunity,4,3,Yes,No,Unknown
E02098,2026-02-18,Yes,Better Opportunity,4,4,No,Yes,Higher Education
E02099,2023-06-24,Yes,Compensation,4,5,No,No,Higher Education
E02100,2017-10-29,No,Performance,4,5,No,Yes,Career Break
E02114,2023-10-10,No,Policy Violation,2,1,No,Yes,Startup
E02116,2018-04-06,Yes,Manager,1,4,Yes,No,Career Break
E02123,2024-03-05,Yes,Career Growth,2,4,No,No,Competitor
E02135,2023-03-16,Yes,Relocation,2,5,No,Yes,Competitor
E02136,2024-08-22,Yes,Relocation,3,5,Yes,Yes,Startup
E02153,2024-08-19,Yes,Relocation,1,2,No,Yes,Unknown
E02159,2021-07-01,Yes,Better Opportunity,5,1,Yes,Yes,Higher Education
E02161,2022-05-30,Yes,Better Opportunity,2,2,No,Yes,Competitor
E02162,2019-08-30,Yes,Relocation,2,4,Yes,Yes,Competitor
E02170,2023-05-29,Yes,Manager,5,1,No,Yes,Career Break
E02181,2021-03-02,Yes,Manager,2,4,Yes,Yes,Higher Education
E02183,2026-04-10,Yes,Compensation,1,2,Yes,No,Career Break
E02186,2023-07-03,Yes,Better Opportunity,3,2,Yes,No,Unknown
E02191,2024-09-23,Yes,Better Opportunity,4,2,No,Yes,Competitor
E02196,2024-10-18,No,Performance,2,5,Yes,Yes,Unknown
E02200,2025-05-10,No,Policy Violation,2,3,Yes,Yes,Unknown
E02202,2021-03-20,Yes,Better Opportunity,4,3,No,Yes,Higher Education
E02204,2020-01-29,No,Contract End,3,3,Yes,Yes,Competitor
E02206,2026-06-20,No,Restructuring,5,3,No,Yes,Career Break
E02215,2026-03-02,Yes,Better Opportunity,4,3,No,No,Startup
E02240,2022-03-10,Yes,Better Opportunity,3,5,Yes,No,Startup
E02241,2026-06-29,No,Policy Violation,5,5,No,Yes,Competitor
E02243,2023-12-20,Yes,Relocation,5,4,Yes,Yes,Competitor
E02245,2023-08-22,No,Policy Violation,1,2,No,No,Career Break
E02247,2024-04-23,Yes,Compensation,4,3,No,No,Competitor
E02254,2018-09-20,Yes,Work-Life Balance,3,4,Yes,No,Higher Education
E02259,2024-01-16,Yes,Manager,1,5,No,Yes,Higher Education
E02260,2025-02-05,Yes,Career Growth,3,3,Yes,Yes,Career Break
E02264,2025-06-15,Yes,Work-Life Balance,5,1,Yes,No,Higher Education
E02265,2024-04-03,Yes,Career Growth,3,2,Yes,No,Startup
E02271,2023-11-22,Yes,Career Growth,3,1,Yes,No,Higher Education
E02297,2026-04-28,Yes,Relocation,3,5,Yes,Yes,Higher Education
E02320,2024-04-20,Yes,Relocation,5,1,No,No,Competitor
E02326,2022-12-09,Yes,Manager,4,1,No,Yes,Career Break
E02347,2019-05-29,Yes,Better Opportunity,5,5,No,No,Unknown
E02352,2025-02-21,No,Contract End,4,2,No,Yes,Higher Education
E02360,2022-08-13,No,Performance,2,5,Yes,Yes,Startup
E02362,2020-11-16,Yes,Manager,2,1,Yes,Yes,Career Break
E02372,2022-06-01,No,Performance,1,5,Yes,No,Unknown
E02376,2024-04-04,No,Restructuring,5,2,No,Yes,Competitor
E02377,2025-10-23,Yes,Compensation,1,1,Yes,Yes,Higher Education
E02381,2024-09-06,Yes,Manager,3,5,Yes,No,Career Break
E02385,2019-11-04,Yes,Compensation,5,3,Yes,Yes,Startup
E02395,2020-12-13,Yes,Relocation,4,5,No,Yes,Career Break
E02397,2026-07-19,No,Performance,4,5,No,No,Unknown
E02411,2024-01-05,Yes,Better Opportunity,4,3,No,Yes,Startup
E02413,2026-03-17,Yes,Better Opportunity,5,5,No,No,Unknown
E02419,2023-01-22,Yes,Manager,3,5,No,No,Higher Education
E02427,2024-07-26,Yes,Better Opportunity,4,2,No,Yes,Startup
E02433,2025-10-10,Yes,Manager,5,3,No,No,Unknown
E02440,2020-08-26,Yes,Relocation,4,1,No,Yes,Startup
E02444,2024-06-18,No,Contract End,1,5,No,Yes,Startup
E02454,2022-11-27,Yes,Compensation,3,3,No,Yes,Career Break
E02458,2025-06-16,No,Restructuring,5,2,Yes,Yes,Higher Education
E02459,2024-04-29,Yes,Better Opportunity,4,5,No,Yes,Career Break
E02463,2026-03-09,Yes,Career Growth,5,1,No,No,Competitor
E02464,2025-02-21,No,Performance,4,1,No,Yes,Competitor
E02488,2026-07-07,Yes,Work-Life Balance,2,3,Yes,No,Career Break
E02504,2018-07-26,No,Contract End,5,4,Yes,Yes,Competitor
E02519,2022-01-07,Yes,Manager,2,4,No,Yes,Higher Education
E02526,2021-05-18,Yes,Work-Life Balance,2,3,No,Yes,Career Break
E02527,2025-12-16,No,Performance,3,2,Yes,No,Startup
E02530,2019-04-02,No,Contract End,3,3,Yes,Yes,Career Break
