Month,Employee_ID,Department,Location,Scheduled_Days,Present_Days,Paid_Leave_Days,Sick_Leave_Days,Unpaid_Leave_Days,Absent_Days,WFH_Days,Overtime_Hours,Late_Arrivals
2026-04-01,E00002,Sales,Chennai,23,19,2,2,0,2,10,8.2,2
2026-05-01,E00002,Sales,Chennai,20,19,1,0,0,0,6,8.2,3
2026-06-01,E00002,Sales,Chennai,20,19,1,0,0,0,5,15.6,1
2026-07-01,E00002,Sales,Chennai,23,22,1,0,0,0,4,0.0,1
2026-08-01,E00002,Sales,Chennai,21,20,1,0,0,0,2,14.4,3
2024-09-01,E00003,Supply Chain,Chennai,22,19,3,0,0,0,0,2.3,1
2024-10-01,E00003,Supply Chain,Chennai,20,17,3,0,0,0,2,12.1,3
2024-11-01,E00003,Supply Chain,Chennai,22,20,2,0,0,0,1,12.9,3
2024-12-01,E00003,Supply Chain,Chennai,23,22,1,0,0,0,1,5.3,3
2025-01-01,E00003,Supply Chain,Chennai,22,21,1,0,0,0,0,9.8,0
2025-02-01,E00003,Supply Chain,Chennai,22,20,2,0,0,0,1,10.6,0
2025-03-01,E00003,Supply Chain,Chennai,21,20,1,0,0,0,1,0.4,2
2025-04-01,E00003,Supply Chain,Chennai,22,22,0,0,0,0,0,4.4,2
2025-05-01,E00003,Supply Chain,Chennai,22,19,3,0,0,0,0,12.5,1
2025-06-01,E00003,Supply Chain,Chennai,23,19,4,0,0,0,0,1.9,0
2025-07-01,E00003,Supply Chain,Chennai,23,18,1,4,0,4,2,15.0,0
2025-08-01,E00003,Supply Chain,Chennai,21,18,2,0,1,1,0,4.2,3
2025-09-01,E00003,Supply Chain,Chennai,22,20,2,0,0,0,0,0.0,3
2025-10-01,E00003,Supply Chain,Chennai,21,17,1,0,3,3,0,15.6,2
2025-11-01,E00003,Supply Chain,Chennai,22,18,1,3,0,3,0,14.0,2
2025-12-01,E00003,Supply Chain,Chennai,20,20,0,0,0,0,1,2.4,3
2026-01-01,E00003,Supply Chain,Chennai,22,18,3,0,1,1,0,8.2,0
2026-02-01,E00003,Supply Chain,Chennai,22,21,1,0,0,0,0,4.5,1
2026-03-01,E00003,Supply Chain,Chennai,22,22,0,0,0,0,0,6.7,3
2026-04-01,E00003,Supply Chain,Chennai,22,19,1,0,2,2,1,3.5,1
2026-05-01,E00003,Supply Chain,Chennai,22,22,0,0,0,0,2,0.0,1
2026-06-01,E00003,Supply Chain,Chennai,20,13,4,0,3,3,0,20.0,3
2026-07-01,E00003,Supply Chain,Chennai,20,17,3,0,0,0,2,8.6,3
2026-08-01,E00003,Supply Chain,Chennai,20,15,2,2,1,3,0,5.0,0
2024-09-01,E00004,Human Resources,Hyderabad,22,21,1,0,0,0,3,6.1,2
2024-10-01,E00004,Human Resources,Hyderabad,20,13,2,2,3,5,5,10.6,0
2024-11-01,E00004,Human Resources,Hyderabad,23,22,1,0,0,0,10,1.8,3
2024-12-01,E00004,Human Resources,Hyderabad,22,21,1,0,0,0,8,12.3,0
2025-01-01,E00004,Human Resources,Hyderabad,22,19,1,0,2,2,8,6.1,1
2025-02-01,E00004,Human Resources,Hyderabad,21,20,1,0,0,0,0,5.4,0
2025-03-01,E00004,Human Resources,Hyderabad,22,21,1,0,0,0,8,0.7,1
2025-04-01,E00004,Human Resources,Hyderabad,23,22,1,0,0,0,7,3.3,1
2025-05-01,E00004,Human Resources,Hyderabad,20,19,1,0,0,0,2,14.0,0
2025-06-01,E00004,Human Resources,Hyderabad,22,20,1,1,0,1,9,0.0,1
2025-07-01,E00004,Human Resources,Hyderabad,21,21,0,0,0,0,8,9.0,2
2025-08-01,E00004,Human Resources,Hyderabad,22,19,3,0,0,0,1,0.0,3
2025-09-01,E00004,Human Resources,Hyderabad,23,22,0,1,0,1,9,15.5,0
2025-10-01,E00004,Human Resources,Hyderabad,21,20,0,0,1,1,12,2.6,3
2025-11-01,E00004,Human Resources,Hyderabad,21,21,0,0,0,0,0,9.7,0
2025-12-01,E00004,Human Resources,Hyderabad,22,20,2,0,0,0,2,0.0,0
2026-01-01,E00004,Human Resources,Hyderabad,22,19,2,1,0,1,1,6.3,2
2026-02-01,E00004,Human Resources,Hyderabad,23,21,2,0,0,0,7,3.8,3
2026-03-01,E00004,Human Resources,Hyderabad,20,15,0,5,0,5,5,0.5,0
2026-04-01,E00004,Human Resources,Hyderabad,23,22,1,0,0,0,11,0.0,2
2026-05-01,E00004,Human Resources,Hyderabad,20,19,1,0,0,0,11,10.4,3
2026-06-01,E00004,Human Resources,Hyderabad,21,20,1,0,0,0,3,6.5,0
2026-07-01,E00004,Human Resources,Hyderabad,23,22,1,0,0,0,12,2.6,0
2026-08-01,E00004,Human Resources,Hyderabad,22,20,1,1,0,1,11,0.4,0
2024-09-01,E00005,Marketing,Gurugram,21,19,2,0,0,0,8,5.7,3
2024-09-01,E00006,Technology,Bengaluru,21,19,2,0,0,0,0,3.8,0
2024-10-01,E00006,Technology,Bengaluru,22,21,1,0,0,0,0,0.4,2
2024-11-01,E00006,Technology,Bengaluru,23,21,2,0,0,0,0,0.5,2
2024-12-01,E00006,Technology,Bengaluru,23,20,3,0,0,0,2,13.8,1
2025-01-01,E00006,Technology,Bengaluru,21,18,2,0,1,1,0,1.4,2
2025-02-01,E00006,Technology,Bengaluru,21,17,4,0,0,0,2,11.6,3
2025-03-01,E00006,Technology,Bengaluru,21,20,1,0,0,0,2,8.6,0
2025-04-01,E00006,Technology,Bengaluru,21,16,2,3,0,3,1,0.0,0
2025-05-01,E00006,Technology,Bengaluru,22,18,4,0,0,0,1,0.0,2
2025-06-01,E00006,Technology,Bengaluru,22,22,0,0,0,0,0,13.9,0
2025-07-01,E00006,Technology,Bengaluru,21,19,2,0,0,0,1,7.6,0
2025-08-01,E00006,Technology,Bengaluru,21,16,4,1,0,1,1,10.5,0
2025-09-01,E00006,Technology,Bengaluru,20,20,0,0,0,0,0,4.5,3
2025-10-01,E00006,Technology,Bengaluru,22,22,0,0,0,0,2,16.4,0
2025-11-01,E00006,Technology,Bengaluru,22,19,2,0,1,1,1,4.5,2
2025-12-01,E00006,Technology,Bengaluru,22,22,0,0,0,0,2,3.4,3
2026-01-01,E00006,Technology,Bengaluru,20,18,2,0,0,0,1,1.4,2
2026-02-01,E00006,Technology,Bengaluru,22,21,1,0,0,0,0,5.1,2
2026-03-01,E00006,Technology,Bengaluru,20,20,0,0,0,0,1,3.6,3
2026-04-01,E00006,Technology,Bengaluru,20,19,1,0,0,0,2,4.3,0
2026-05-01,E00006,Technology,Bengaluru,20,19,1,0,0,0,2,9.1,3
2026-06-01,E00006,Technology,Bengaluru,22,20,2,0,0,0,2,13.2,1
2026-07-01,E00006,Technology,Bengaluru,21,19,2,0,0,0,0,8.9,1
2026-08-01,E00006,Technology,Bengaluru,21,20,1,0,0,0,0,6.7,3
2024-09-01,E00007,Supply Chain,Chennai,22,17,2,0,3,3,4,7.1,3
2024-10-01,E00007,Supply Chain,Chennai,23,21,2,0,0,0,0,0.0,2
2024-11-01,E00007,Supply Chain,Chennai,23,20,3,0,0,0,0,6.4,0
2024-12-01,E00007,Supply Chain,Chennai,22,21,1,0,0,0,11,10.4,2
2025-01-01,E00007,Supply Chain,Chennai,21,21,0,0,0,0,10,5.5,3
2025-02-01,E00007,Supply Chain,Chennai,22,21,1,0,0,0,6,6.0,1
2025-03-01,E00007,Supply Chain,Chennai,22,19,0,3,0,3,12,5.6,2
2025-04-01,E00007,Supply Chain,Chennai,20,18,2,0,0,0,12,2.9,3
2025-05-01,E00007,Supply Chain,Chennai,21,15,4,2,0,2,12,0.0,0
2025-06-01,E00007,Supply Chain,Chennai,22,22,0,0,0,0,7,1.9,2
2025-07-01,E00007,Supply Chain,Chennai,22,21,1,0,0,0,11,11.7,0
2025-08-01,E00007,Supply Chain,Chennai,23,16,0,7,0,7,2,5.3,0
2025-09-01,E00007,Supply Chain,Chennai,22,19,0,0,3,3,12,15.0,1
2025-10-01,E00007,Supply Chain,Chennai,20,18,1,0,1,1,0,6.3,2
2025-11-01,E00007,Supply Chain,Chennai,20,19,1,0,0,0,8,13.0,3
2025-12-01,E00007,Supply Chain,Chennai,20,19,0,1,0,1,2,0.0,0
2026-01-01,E00007,Supply Chain,Chennai,22,22,0,0,0,0,4,2.3,1
2026-02-01,E00007,Supply Chain,Chennai,22,22,0,0,0,0,4,12.0,0
2026-03-01,E00007,Supply Chain,Chennai,22,21,1,0,0,0,5,1.3,0
2026-04-01,E00007,Supply Chain,Chennai,23,22,1,0,0,0,5,0.0,1
2026-05-01,E00007,Supply Chain,Chennai,23,23,0,0,0,0,3,8.3,3
2026-06-01,E00007,Supply Chain,Chennai,23,20,2,1,0,1,4,7.8,0
2026-07-01,E00007,Supply Chain,Chennai,22,21,1,0,0,0,6,10.0,3
2026-08-01,E00007,Supply Chain,Chennai,23,21,2,0,0,0,8,2.5,2
2024-09-01,E00008,Marketing,Noida,23,20,2,1,0,1,2,8.0,2
2024-10-01,E00008,Marketing,Noida,20,18,2,0,0,0,2,1.7,0
2024-11-01,E00008,Marketing,Noida,23,23,0,0,0,0,0,1.0,2
2024-12-01,E00008,Marketing,Noida,20,19,1,0,0,0,1,0.0,1
2025-01-01,E00008,Marketing,Noida,21,20,1,0,0,0,1,0.0,3
2025-02-01,E00008,Marketing,Noida,20,20,0,0,0,0,2,19.2,1
2025-03-01,E00008,Marketing,Noida,23,21,2,0,0,0,0,11.7,1
2025-04-01,E00008,Marketing,Noida,21,20,1,0,0,0,2,2.7,2
2025-05-01,E00008,Marketing,Noida,20,17,3,0,0,0,2,5.1,2
2025-06-01,E00008,Marketing,Noida,22,21,1,0,0,0,0,3.7,2
2025-07-01,E00008,Marketing,Noida,22,21,0,1,0,1,1,0.0,1
2025-08-01,E00008,Marketing,Noida,23,20,1,2,0,2,1,0.7,3
2025-09-01,E00008,Marketing,Noida,23,23,0,0,0,0,1,0.0,2
2025-10-01,E00008,Marketing,Noida,23,20,3,0,0,0,2,11.4,2
2025-11-01,E00008,Marketing,Noida,23,21,2,0,0,0,0,5.7,1
2025-12-01,E00008,Marketing,Noida,20,20,0,0,0,0,2,0.0,2
2026-01-01,E00008,Marketing,Noida,22,20,2,0,0,0,1,3.2,0
2026-02-01,E00008,Marketing,Noida,22,21,1,0,0,0,2,3.7,3
2026-03-01,E00008,Marketing,Noida,23,18,3,0,2,2,1,10.1,2
2026-04-01,E00008,Marketing,Noida,23,23,0,0,0,0,1,9.8,3
2026-05-01,E00008,Marketing,Noida,20,20,0,0,0,0,1,1.7,3
2026-06-01,E00008,Marketing,Noida,23,21,2,0,0,0,2,11.9,3
2026-07-01,E00008,Marketing,Noida,20,19,1,0,0,0,0,1.1,2
2026-08-01,E00008,Marketing,Noida,22,20,0,2,0,2,2,8.6,1
2024-09-01,E00009,Customer Success,Mumbai,20,19,0,1,0,1,2,0.0,3
2024-10-01,E00009,Customer Success,Mumbai,20,19,1,0,0,0,2,0.0,2
2024-11-01,E00009,Customer Success,Mumbai,22,19,3,0,0,0,0,2.9,1
2024-12-01,E00009,Customer Success,Mumbai,20,19,1,0,0,0,2,4.1,3
2025-01-01,E00009,Customer Success,Mumbai,21,18,3,0,0,0,0,1.0,3
2025-02-01,E00009,Customer Success,Mumbai,22,20,0,2,0,2,2,0.2,1
2025-03-01,E00009,Customer Success,Mumbai,22,20,2,0,0,0,2,0.0,3
2025-04-01,E00009,Customer Success,Mumbai,20,18,1,1,0,1,2,5.6,0
2025-05-01,E00009,Customer Success,Mumbai,21,17,4,0,0,0,2,2.5,3
2025-06-01,E00009,Customer Success,Mumbai,23,23,0,0,0,0,1,2.5,3
2025-07-01,E00009,Customer Success,Mumbai,22,20,2,0,0,0,1,6.7,0
2025-08-01,E00009,Customer Success,Mumbai,22,17,4,1,0,1,0,6.3,0
2025-09-01,E00009,Customer Success,Mumbai,22,21,1,0,0,0,1,2.4,2
2025-10-01,E00009,Customer Success,Mumbai,21,17,1,3,0,3,1,4.8,0
2025-11-01,E00009,Customer Success,Mumbai,20,20,0,0,0,0,2,1.6,3
2025-12-01,E00009,Customer Success,Mumbai,22,20,2,0,0,0,1,2.6,0
2026-01-01,E00009,Customer Success,Mumbai,23,21,2,0,0,0,0,0.0,2
2026-02-01,E00009,Customer Success,Mumbai,21,20,1,0,0,0,2,10.1,1
2026-03-01,E00009,Customer Success,Mumbai,20,19,0,1,0,1,2,2.0,2
2026-04-01,E00009,Customer Success,Mumbai,22,17,2,2,1,3,0,0.0,3
2026-05-01,E00009,Customer Success,Mumbai,22,22,0,0,0,0,2,0.0,1
2026-06-01,E00009,Customer Success,Mumbai,22,21,1,0,0,0,2,9.5,0
2026-07-01,E00009,Customer Success,Mumbai,22,21,1,0,0,0,2,5.9,0
2026-08-01,E00009,Customer Success,Mumbai,20,19,1,0,0,0,1,2.3,0
2024-09-01,E00010,Finance,Hyderabad,23,21,0,0,2,2,8,7.2,1
2024-10-01,E00010,Finance,Hyderabad,21,21,0,0,0,0,12,12.3,2
2024-11-01,E00010,Finance,Hyderabad,22,18,2,2,0,2,8,7.1,0
2024-12-01,E00010,Finance,Hyderabad,21,20,1,0,0,0,0,0.0,1
2025-01-01,E00010,Finance,Hyderabad,20,19,1,0,0,0,7,0.0,0
2025-02-01,E00010,Finance,Hyderabad,21,19,1,0,1,1,2,3.0,2
2025-03-01,E00010,Finance,Hyderabad,20,17,3,0,0,0,0,0.0,3
2025-04-01,E00010,Finance,Hyderabad,21,20,1,0,0,0,10,0.0,1
2025-05-01,E00010,Finance,Hyderabad,21,19,2,0,0,0,9,7.2,2
2025-06-01,E00010,Finance,Hyderabad,22,20,2,0,0,0,7,6.7,3
2025-07-01,E00010,Finance,Hyderabad,22,18,4,0,0,0,2,0.0,0
2025-08-01,E00010,Finance,Hyderabad,22,21,1,0,0,0,9,9.5,1
2025-09-01,E00010,Finance,Hyderabad,22,21,1,0,0,0,7,2.2,1
2025-10-01,E00010,Finance,Hyderabad,22,21,1,0,0,0,2,8.2,2
2025-11-01,E00010,Finance,Hyderabad,22,20,2,0,0,0,8,6.2,0
2025-12-01,E00010,Finance,Hyderabad,21,21,0,0,0,0,1,7.9,3
2026-01-01,E00010,Finance,Hyderabad,22,20,2,0,0,0,0,0.0,1
2026-02-01,E00010,Finance,Hyderabad,22,21,1,0,0,0,3,5.9,2
2026-03-01,E00010,Finance,Hyderabad,21,18,3,0,0,0,0,2.1,1
2026-04-01,E00010,Finance,Hyderabad,22,22,0,0,0,0,11,0.0,2
2026-05-01,E00010,Finance,Hyderabad,23,22,1,0,0,0,10,5.6,2
2026-06-01,E00010,Finance,Hyderabad,20,19,1,0,0,0,9,7.8,3
2026-07-01,E00010,Finance,Hyderabad,23,22,0,0,1,1,3,0.0,1
2026-08-01,E00010,Finance,Hyderabad,23,20,3,0,0,0,12,0.0,1
2024-09-01,E00011,Sales,Hyderabad,22,22,0,0,0,0,0,0.0,1
2024-10-01,E00011,Sales,Hyderabad,22,18,4,0,0,0,2,2.8,0
2024-11-01,E00011,Sales,Hyderabad,23,19,4,0,0,0,1,2.7,1
2024-12-01,E00011,Sales,Hyderabad,22,19,3,0,0,0,2,1.9,1
2025-01-01,E00011,Sales,Hyderabad,22,20,2,0,0,0,1,7.2,3
2025-02-01,E00011,Sales,Hyderabad,23,21,2,0,0,0,0,3.5,2
2025-03-01,E00011,Sales,Hyderabad,21,19,2,0,0,0,2,2.9,2
2025-04-01,E00011,Sales,Hyderabad,22,20,2,0,0,0,1,6.4,0
2025-05-01,E00011,Sales,Hyderabad,21,17,2,0,2,2,1,0.5,0
2025-06-01,E00011,Sales,Hyderabad,22,21,1,0,0,0,2,4.7,3
2025-07-01,E00011,Sales,Hyderabad,23,22,1,0,0,0,1,4.3,1
2025-08-01,E00011,Sales,Hyderabad,20,17,0,3,0,3,0,13.5,0
2025-09-01,E00011,Sales,Hyderabad,21,16,4,0,1,1,1,4.7,0
2025-10-01,E00011,Sales,Hyderabad,21,21,0,0,0,0,0,13.4,2
2025-11-01,E00011,Sales,Hyderabad,23,22,0,0,1,1,1,19.9,0
2025-12-01,E00011,Sales,Hyderabad,22,19,0,3,0,3,2,0.0,0
2026-01-01,E00011,Sales,Hyderabad,20,19,1,0,0,0,2,10.4,3
2026-02-01,E00011,Sales,Hyderabad,22,18,2,0,2,2,1,18.1,3
2026-03-01,E00011,Sales,Hyderabad,22,22,0,0,0,0,1,7.7,3
2026-04-01,E00011,Sales,Hyderabad,22,21,0,1,0,1,2,16.1,0
2026-05-01,E00011,Sales,Hyderabad,21,19,2,0,0,0,1,6.5,0
2026-06-01,E00011,Sales,Hyderabad,22,18,4,0,0,0,2,12.8,3
2026-07-01,E00011,Sales,Hyderabad,20,17,3,0,0,0,2,9.7,3
2026-08-01,E00011,Sales,Hyderabad,22,22,0,0,0,0,1,7.4,1
2024-09-01,E00013,Technology,Pune,23,20,3,0,0,0,8,4.0,0
2024-10-01,E00013,Technology,Pune,21,21,0,0,0,0,12,7.5,1
2024-11-01,E00013,Technology,Pune,20,20,0,0,0,0,5,13.1,0
2024-12-01,E00013,Technology,Pune,22,22,0,0,0,0,5,2.9,3
2025-01-01,E00013,Technology,Pune,22,21,1,0,0,0,11,16.3,0
2025-02-01,E00013,Technology,Pune,21,20,1,0,0,0,10,1.2,2
2025-03-01,E00013,Technology,Pune,23,22,1,0,0,0,2,10.1,3
2025-04-01,E00013,Technology,Pune,22,17,3,0,2,2,12,0.0,2
2025-05-01,E00013,Technology,Pune,20,19,0,1,0,1,11,12.8,3
2025-06-01,E00013,Technology,Pune,20,17,3,0,0,0,9,6.6,0
2025-07-01,E00013,Technology,Pune,22,22,0,0,0,0,9,3.1,1
2025-08-01,E00013,Technology,Pune,21,19,2,0,0,0,6,19.5,1
2025-09-01,E00013,Technology,Pune,23,20,0,0,3,3,5,9.6,2
2025-10-01,E00013,Technology,Pune,20,19,1,0,0,0,3,0.0,3
2025-11-01,E00013,Technology,Pune,23,19,4,0,0,0,9,0.0,3
2025-12-01,E00013,Technology,Pune,22,20,0,2,0,2,0,13.2,2
2026-01-01,E00013,Technology,Pune,23,19,4,0,0,0,6,12.8,2
2026-02-01,E00013,Technology,Pune,22,20,2,0,0,0,4,6.8,3
2026-03-01,E00013,Technology,Pune,20,19,1,0,0,0,8,5.1,1
2026-04-01,E00013,Technology,Pune,23,21,1,0,1,1,9,3.4,3
2026-05-01,E00013,Technology,Pune,22,22,0,0,0,0,1,10.5,2
2026-06-01,E00013,Technology,Pune,22,15,4,1,2,3,4,9.9,3
2026-07-01,E00013,Technology,Pune,23,21,2,0,0,0,12,0.4,2
2026-08-01,E00013,Technology,Pune,23,23,0,0,0,0,10,10.4,0
2024-09-01,E00015,Supply Chain,Bengaluru,20,16,2,2,0,2,11,4.6,0
2024-10-01,E00015,Supply Chain,Bengaluru,20,18,2,0,0,0,4,0.6,0
2024-11-01,E00015,Supply Chain,Bengaluru,22,22,0,0,0,0,8,6.8,1
2024-12-01,E00015,Supply Chain,Bengaluru,22,21,0,1,0,1,0,15.7,3
2025-01-01,E00015,Supply Chain,Bengaluru,21,18,3,0,0,0,1,0.6,0
2025-02-01,E00015,Supply Chain,Bengaluru,20,14,3,3,0,3,9,11.0,1
2025-03-01,E00015,Supply Chain,Bengaluru,22,19,3,0,0,0,7,4.1,3
2025-04-01,E00015,Supply Chain,Bengaluru,22,21,1,0,0,0,2,2.2,1
2025-05-01,E00015,Supply Chain,Bengaluru,23,22,1,0,0,0,10,12.4,0
2025-06-01,E00015,Supply Chain,Bengaluru,22,21,1,0,0,0,7,0.0,1
2025-07-01,E00015,Supply Chain,Bengaluru,22,19,1,2,0,2,1,3.5,3
2025-08-01,E00015,Supply Chain,Bengaluru,22,16,2,4,0,4,12,9.7,3
2025-09-01,E00015,Supply Chain,Bengaluru,22,21,1,0,0,0,4,5.5,2
2025-10-01,E00015,Supply Chain,Bengaluru,22,19,2,1,0,1,7,16.1,0
2025-11-01,E00015,Supply Chain,Bengaluru,23,20,3,0,0,0,7,14.6,1
2025-12-01,E00015,Supply Chain,Bengaluru,23,20,3,0,0,0,8,3.7,0
2026-01-01,E00015,Supply Chain,Bengaluru,22,20,1,1,0,1,11,0.0,2
2026-02-01,E00015,Supply Chain,Bengaluru,22,19,3,0,0,0,9,2.4,3
2026-03-01,E00015,Supply Chain,Bengaluru,22,21,1,0,0,0,8,4.5,1
2026-04-01,E00015,Supply Chain,Bengaluru,22,13,2,6,1,7,5,7.2,2
2026-05-01,E00015,Supply Chain,Bengaluru,23,21,2,0,0,0,0,3.6,0
2026-06-01,E00015,Supply Chain,Bengaluru,22,19,3,0,0,0,6,10.1,3
2026-07-01,E00015,Supply Chain,Bengaluru,22,19,3,0,0,0,3,0.8,2
2026-08-01,E00015,Supply Chain,Bengaluru,23,22,1,0,0,0,12,19.7,2
2024-09-01,E00016,Supply Chain,Pune,20,18,0,1,1,2,2,11.4,1
2024-10-01,E00016,Supply Chain,Pune,23,21,0,2,0,2,2,14.7,0
2024-11-01,E00016,Supply Chain,Pune,20,20,0,0,0,0,0,0.0,1
2024-12-01,E00016,Supply Chain,Pune,20,18,2,0,0,0,0,0.0,0
2025-01-01,E00016,Supply Chain,Pune,22,20,1,0,1,1,0,6.9,2
2025-02-01,E00016,Supply Chain,Pune,21,13,1,7,0,7,0,9.3,0
2025-03-01,E00016,Supply Chain,Pune,22,14,1,7,0,7,2,6.6,0
2025-04-01,E00016,Supply Chain,Pune,20,19,1,0,0,0,0,11.3,3
2025-05-01,E00016,Supply Chain,Pune,22,19,1,0,2,2,1,4.1,3
2025-06-01,E00016,Supply Chain,Pune,22,20,0,0,2,2,0,0.4,2
2025-07-01,E00016,Supply Chain,Pune,23,20,2,0,1,1,2,0.0,1
2025-08-01,E00016,Supply Chain,Pune,20,19,1,0,0,0,1,6.9,0
2025-09-01,E00016,Supply Chain,Pune,20,20,0,0,0,0,0,3.3,0
2025-10-01,E00016,Supply Chain,Pune,20,20,0,0,0,0,1,7.5,0
2025-11-01,E00016,Supply Chain,Pune,22,18,2,2,0,2,0,2.8,0
2025-12-01,E00016,Supply Chain,Pune,21,18,2,1,0,1,2,0.3,2
2026-01-01,E00016,Supply Chain,Pune,22,21,1,0,0,0,0,3.6,0
2026-02-01,E00016,Supply Chain,Pune,22,21,1,0,0,0,2,7.6,3
2026-03-01,E00016,Supply Chain,Pune,20,19,1,0,0,0,0,2.1,0
2026-04-01,E00016,Supply Chain,Pune,22,19,0,0,3,3,0,5.1,0
2026-05-01,E00016,Supply Chain,Pune,21,20,1,0,0,0,0,10.1,2
2026-06-01,E00016,Supply Chain,Pune,21,19,2,0,0,0,1,0.0,2
2026-07-01,E00016,Supply Chain,Pune,20,20,0,0,0,0,1,17.8,1
2026-08-01,E00016,Supply Chain,Pune,20,16,2,0,2,2,2,11.1,3
2024-09-01,E00017,Finance,Pune,22,19,3,0,0,0,3,10.6,1
2024-10-01,E00017,Finance,Pune,22,22,0,0,0,0,6,0.0,1
2024-11-01,E00017,Finance,Pune,20,17,2,1,0,1,6,1.2,3
2024-12-01,E00017,Finance,Pune,20,17,3,0,0,0,8,11.0,2
2025-01-01,E00017,Finance,Pune,21,19,2,0,0,0,1,0.0,2
2025-02-01,E00017,Finance,Pune,20,18,2,0,0,0,0,0.0,3
2025-03-01,E00017,Finance,Pune,20,17,3,0,0,0,5,0.0,0
2025-04-01,E00017,Finance,Pune,20,18,2,0,0,0,1,0.0,1
2025-05-01,E00017,Finance,Pune,20,19,1,0,0,0,2,11.4,2
2025-06-01,E00017,Finance,Pune,21,19,1,0,1,1,4,9.8,3
2025-07-01,E00017,Finance,Pune,21,20,1,0,0,0,9,0.0,0
2025-08-01,E00017,Finance,Pune,22,22,0,0,0,0,10,13.6,1
2025-09-01,E00017,Finance,Pune,21,20,1,0,0,0,4,4.5,2
2025-10-01,E00017,Finance,Pune,21,17,3,0,1,1,1,3.5,0
2025-11-01,E00017,Finance,Pune,22,21,0,0,1,1,7,12.2,2
