Employee_ID,Effective_Date,Grade,Base_Salary_INR,Variable_Pay_INR,Total_Compensation_INR,Compa_Ratio,Change_Reason
E00042,2025-09-11,G3,650600.0,121800.0,772400.0,0.86,Promotion
E00042,2026-04-01,G3,677000.0,79500.0,756500.0,0.89,Promotion
E00043,2026-06-10,G1,381300.0,37000.0,418300.0,1.06,Market Correction
E00044,2024-10-06,G2,539100.0,29400.0,568400.0,1.04,Joining
E00044,2025-04-01,G2,575800.0,107000.0,682800.0,1.11,Market Correction
E00044,2026-04-01,G2,640300.0,63400.0,703700.0,1.23,Market Correction
E00045,2022-04-01,G5,1386200.0,259900.0,1646100.0,0.84,Annual Review
E00045,2023-04-01,G5,1483900.0,270700.0,1754600.0,0.9,Market Correction
E00045,2024-04-01,G5,1639300.0,310300.0,1949600.0,0.99,Promotion
E00045,2025-04-01,G5,1793500.0,263800.0,2057300.0,1.09,Annual Review
E00045,2026-04-01,G5,1864400.0,239800.0,2104200.0,1.13,Joining
E00046,2022-04-01,G4,1130400.0,167000.0,1297300.0,1.03,Market Correction
E00046,2023-04-01,G4,1283200.0,219800.0,1503000.0,1.17,Market Correction
E00046,2024-04-01,G4,1428400.0,194500.0,1622900.0,1.3,Annual Review
E00046,2025-04-01,G4,1593300.0,249400.0,1842700.0,1.45,Market Correction
E00046,2026-04-01,G4,1706500.0,134200.0,1840700.0,1.55,Promotion
E00047,2022-04-01,G3,861400.0,70900.0,932300.0,1.13,Annual Review
E00047,2023-04-01,G3,928600.0,150400.0,1079000.0,1.22,Market Correction
E00047,2024-04-01,G3,990800.0,188400.0,1179200.0,1.3,Annual Review
E00047,2025-04-01,G3,1020700.0,46700.0,1067400.0,1.34,Annual Review
E00047,2026-04-01,G3,1071400.0,171300.0,1242700.0,1.41,Joining
E00048,2024-12-27,G2,520300.0,36800.0,557100.0,1.0,Joining
E00048,2025-04-01,G2,558800.0,30400.0,589200.0,1.07,Promotion
E00048,2026-04-01,G2,592700.0,76000.0,668700.0,1.14,Market Correction
E00049,2022-04-01,G4,1092200.0,120500.0,1212700.0,0.99,Annual Review
E00049,2023-04-01,G4,1179500.0,167000.0,1346500.0,1.07,Joining
E00049,2024-04-01,G4,1262400.0,71700.0,1334200.0,1.15,Market Correction
E00049,2025-04-01,G4,1412500.0,145100.0,1557700.0,1.28,Annual Review
E00049,2026-04-01,G4,1597800.0,283900.0,1881700.0,1.45,Joining
E00050,2022-10-07,G4,1124100.0,177500.0,1301700.0,1.02,Annual Review
E00050,2023-04-01,G4,1247100.0,90400.0,1337500.0,1.13,Market Correction
E00050,2024-04-01,G4,1382200.0,201900.0,1584100.0,1.26,Market Correction
E00050,2025-04-01,G4,1539200.0,268000.0,1807200.0,1.4,Market Correction
E00050,2026-04-01,G4,1751000.0,334000.0,2085000.0,1.59,Joining
E00051,2022-04-01,G3,697600.0,82700.0,780300.0,0.92,Annual Review
E00051,2023-04-01,G3,727900.0,98300.0,826200.0,0.96,Annual Review
E00051,2024-04-01,G3,807200.0,131700.0,938900.0,1.06,Annual Review
E00051,2025-04-01,G3,835100.0,129300.0,964400.0,1.1,Market Correction
E00051,2026-04-01,G3,935200.0,49000.0,984200.0,1.23,Promotion
E00052,2024-04-01,G4,942200.0,41900.0,984100.0,0.86,Joining
E00052,2025-04-01,G4,985900.0,82400.0,1068300.0,0.9,Joining
E00052,2026-04-01,G4,1044300.0,75500.0,1119800.0,0.95,Annual Review
E00053,2022-05-28,G6,2665200.0,442100.0,3107200.0,1.07,Market Correction
E00053,2023-04-01,G6,2881300.0,541500.0,3422800.0,1.15,Joining
E00053,2024-04-01,G6,3236900.0,132500.0,3369400.0,1.29,Annual Review
E00053,2025-04-01,G6,3393400.0,459000.0,3852400.0,1.36,Promotion
E00053,2026-04-01,G6,3863200.0,311200.0,4174300.0,1.55,Promotion
E00054,2023-10-08,G4,1140100.0,50300.0,1190300.0,1.04,Annual Review
E00054,2024-04-01,G4,1189300.0,56300.0,1245600.0,1.08,Joining
E00054,2025-04-01,G4,1302200.0,196100.0,1498300.0,1.18,Market Correction
E00055,2024-12-22,G3,818300.0,65400.0,883600.0,1.08,Promotion
E00055,2025-04-01,G3,857700.0,43400.0,901100.0,1.13,Market Correction
E00055,2026-04-01,G3,964500.0,156900.0,1121400.0,1.27,Joining
E00056,2022-04-01,G2,462000.0,33500.0,495400.0,0.89,Promotion
E00056,2023-04-01,G2,520700.0,40700.0,561400.0,1.0,Promotion
E00056,2024-04-01,G2,570900.0,35600.0,606600.0,1.1,Market Correction
E00056,2025-04-01,G2,633300.0,97000.0,730200.0,1.22,Promotion
E00056,2026-04-01,G2,710700.0,105400.0,816100.0,1.37,Joining
E00057,2022-04-01,G2,557500.0,104900.0,662400.0,1.07,Annual Review
E00057,2023-04-01,G2,616900.0,48300.0,665100.0,1.19,Promotion
E00057,2024-04-01,G2,642900.0,72900.0,715800.0,1.24,Market Correction
E00057,2025-04-01,G2,690300.0,110400.0,800700.0,1.33,Joining
E00057,2026-04-01,G2,768300.0,94100.0,862400.0,1.48,Joining
E00058,2023-04-17,G1,363600.0,55100.0,418700.0,1.01,Joining
E00058,2024-04-01,G1,407500.0,48100.0,455500.0,1.13,Joining
E00058,2025-04-01,G1,429000.0,17400.0,446300.0,1.19,Market Correction
E00058,2026-04-01,G1,450100.0,53300.0,503400.0,1.25,Promotion
E00059,2026-04-01,G5,1472300.0,108600.0,1580900.0,0.89,Promotion
E00060,2024-05-06,G3,695500.0,119900.0,815400.0,0.92,Market Correction
E00060,2025-04-01,G3,784200.0,115800.0,900000.0,1.03,Promotion
E00060,2026-04-01,G3,849700.0,41600.0,891300.0,1.12,Annual Review
E00061,2022-04-01,G3,696500.0,93200.0,789600.0,0.92,Annual Review
E00061,2023-04-01,G3,771000.0,80000.0,850900.0,1.01,Market Correction
E00061,2024-04-01,G3,857600.0,45800.0,903400.0,1.13,Annual Review
E00061,2025-04-01,G3,958300.0,162400.0,1120700.0,1.26,Annual Review
E00061,2026-04-01,G3,1019300.0,129200.0,1148600.0,1.34,Annual Review
E00062,2022-04-01,G4,1191300.0,55500.0,1246800.0,1.08,Annual Review
E00063,2023-12-08,G4,1102800.0,179700.0,1282500.0,1.0,Market Correction
E00063,2024-04-01,G4,1220800.0,191400.0,1412200.0,1.11,Joining
E00063,2025-04-01,G4,1353500.0,262900.0,1616400.0,1.23,Market Correction
E00063,2026-04-01,G4,1470700.0,105000.0,1575700.0,1.34,Market Correction
E00064,2024-04-01,G2,546900.0,61200.0,608100.0,1.05,Market Correction
E00064,2025-04-01,G2,606500.0,40600.0,647000.0,1.17,Market Correction
E00064,2026-04-01,G2,669200.0,108100.0,777200.0,1.29,Annual Review
E00066,2022-04-01,G5,1653300.0,186800.0,1840100.0,1.0,Joining
E00066,2023-04-01,G5,1853100.0,325100.0,2178200.0,1.12,Joining
E00066,2024-04-01,G5,2097100.0,231100.0,2328200.0,1.27,Promotion
E00066,2025-04-01,G5,2271100.0,250400.0,2521500.0,1.38,Annual Review
E00066,2026-04-01,G5,2382800.0,322300.0,2705100.0,1.44,Promotion
E00067,2022-04-01,G1,411000.0,58100.0,469100.0,1.14,Joining
E00067,2023-04-01,G1,444900.0,19500.0,464500.0,1.24,Annual Review
E00067,2024-04-01,G1,498600.0,71600.0,570200.0,1.39,Joining
E00067,2025-04-01,G1,529600.0,31900.0,561500.0,1.47,Promotion
E00067,2026-04-01,G1,574600.0,49600.0,624200.0,1.6,Joining
E00068,2022-04-01,G2,585600.0,25400.0,611000.0,1.13,Promotion
E00068,2023-04-01,G2,659100.0,58600.0,717600.0,1.27,Market Correction
E00068,2024-04-01,G2,747900.0,108500.0,856400.0,1.44,Market Correction
E00068,2025-04-01,G2,846200.0,43900.0,890100.0,1.63,Annual Review
E00069,2022-04-01,G5,1487400.0,268300.0,1755700.0,0.9,Market Correction
E00069,2023-04-01,G5,1649000.0,103600.0,1752600.0,1.0,Joining
E00069,2024-04-01,G5,1877800.0,255000.0,2132900.0,1.14,Joining
E00069,2025-04-01,G5,1981500.0,238500.0,2220000.0,1.2,Annual Review
E00069,2026-04-01,G5,2190900.0,353700.0,2544700.0,1.33,Annual Review
E00070,2026-07-31,G3,829900.0,105600.0,935500.0,1.09,Annual Review
E00071,2022-04-01,G2,486800.0,61100.0,547900.0,0.94,Promotion
E00071,2023-04-01,G2,545000.0,36800.0,581800.0,1.05,Promotion
E00071,2024-04-01,G2,587500.0,88500.0,676000.0,1.13,Promotion
E00071,2025-04-01,G2,647300.0,102700.0,750000.0,1.24,Promotion
E00071,2026-04-01,G2,675300.0,31400.0,706600.0,1.3,Annual Review
E00072,2025-06-09,G3,728000.0,102300.0,830300.0,0.96,Annual Review
E00072,2026-04-01,G3,792200.0,35100.0,827300.0,1.04,Promotion
E00074,2023-08-20,G4,1109800.0,103200.0,1212900.0,1.01,Promotion
E00074,2024-04-01,G4,1196100.0,216300.0,1412400.0,1.09,Promotion
E00074,2025-04-01,G4,1288000.0,140100.0,1428100.0,1.17,Promotion
E00074,2026-04-01,G4,1376500.0,196300.0,1572800.0,1.25,Joining
E00075,2024-04-01,G1,354700.0,16600.0,371300.0,0.99,Market Correction
E00075,2025-04-01,G1,378100.0,22000.0,400100.0,1.05,Annual Review
E00075,2026-04-01,G1,395200.0,37800.0,433000.0,1.1,Market Correction
E00076,2026-05-21,G3,644100.0,115300.0,759400.0,0.85,Market Correction
E00077,2023-10-01,G3,798000.0,138700.0,936700.0,1.05,Annual Review
E00077,2024-04-01,G3,844500.0,67000.0,911500.0,1.11,Annual Review
E00077,2025-04-01,G3,884700.0,134900.0,1019500.0,1.16,Annual Review
E00077,2026-04-01,G3,927300.0,165900.0,1093300.0,1.22,Annual Review
E00078,2022-04-01,G3,722800.0,56500.0,779300.0,0.95,Promotion
E00078,2023-04-01,G3,750500.0,78400.0,828900.0,0.99,Joining
E00078,2024-04-01,G3,830900.0,46700.0,877600.0,1.09,Market Correction
E00078,2025-04-01,G3,908800.0,59100.0,967900.0,1.2,Annual Review
E00078,2026-04-01,G3,949100.0,149000.0,1098100.0,1.25,Joining
E00079,2022-04-01,G3,619700.0,55200.0,674900.0,0.82,Market Correction
E00079,2023-04-01,G3,664500.0,77600.0,742100.0,0.87,Joining
E00079,2024-04-01,G3,718200.0,91900.0,810100.0,0.94,Promotion
E00079,2025-04-01,G3,748500.0,107100.0,855600.0,0.98,Promotion
E00079,2026-04-01,G3,839600.0,101900.0,941500.0,1.1,Annual Review
E00080,2022-04-01,G3,708500.0,100100.0,808600.0,0.93,Joining
E00080,2023-04-01,G3,734900.0,108400.0,843200.0,0.97,Market Correction
E00080,2024-04-01,G3,793400.0,151500.0,944900.0,1.04,Promotion
E00080,2025-04-01,G3,882200.0,55800.0,938000.0,1.16,Annual Review
E00080,2026-04-01,G3,918400.0,169800.0,1088200.0,1.21,Joining
E00081,2023-11-18,G3,846200.0,60100.0,906300.0,1.11,Joining
E00081,2024-04-01,G3,897000.0,151600.0,1048600.0,1.18,Promotion
E00081,2025-04-01,G3,1014400.0,94100.0,1108500.0,1.33,Annual Review
E00081,2026-04-01,G3,1128500.0,125800.0,1254300.0,1.48,Promotion
E00082,2023-07-24,G2,509400.0,78500.0,587900.0,0.98,Annual Review
E00082,2024-04-01,G2,576400.0,109000.0,685400.0,1.11,Joining
E00083,2022-04-01,G3,895500.0,109700.0,1005200.0,1.18,Annual Review
E00083,2023-04-01,G3,1011500.0,53300.0,1064800.0,1.33,Annual Review
E00083,2024-04-01,G3,1077700.0,163000.0,1240700.0,1.42,Market Correction
E00083,2025-04-01,G3,1157500.0,63600.0,1221100.0,1.52,Joining
E00083,2026-04-01,G3,1311500.0,155300.0,1466800.0,1.73,Annual Review
E00084,2024-11-26,G1,370300.0,24300.0,394500.0,1.03,Market Correction
E00084,2025-04-01,G1,390000.0,20800.0,410800.0,1.08,Market Correction
E00084,2026-04-01,G1,437100.0,73200.0,510300.0,1.21,Joining
E00085,2022-04-01,G3,681400.0,98800.0,780200.0,0.9,Promotion
E00085,2023-04-01,G3,714800.0,104600.0,819400.0,0.94,Market Correction
E00085,2024-04-01,G3,769400.0,46000.0,815400.0,1.01,Joining
E00085,2025-04-01,G3,877100.0,88200.0,965300.0,1.15,Joining
E00085,2026-04-01,G3,944700.0,128500.0,1073200.0,1.24,Promotion
E00086,2026-04-01,G2,536400.0,30000.0,566400.0,1.03,Market Correction
E00087,2024-06-20,G4,968400.0,90600.0,1059000.0,0.88,Annual Review
E00087,2025-04-01,G4,1026400.0,80700.0,1107100.0,0.93,Promotion
E00087,2026-04-01,G4,1160600.0,148100.0,1308600.0,1.06,Annual Review
E00088,2022-04-01,G4,1092600.0,96400.0,1189000.0,0.99,Annual Review
E00088,2023-04-01,G4,1227700.0,180700.0,1408400.0,1.12,Market Correction
E00088,2024-04-01,G4,1333200.0,189400.0,1522600.0,1.21,Joining
E00088,2025-04-01,G4,1461000.0,128600.0,1589500.0,1.33,Promotion
E00088,2026-04-01,G4,1663600.0,84500.0,1748200.0,1.51,Joining
E00089,2022-04-01,G3,754600.0,31700.0,786300.0,0.99,Annual Review
E00089,2023-04-01,G3,813400.0,157700.0,971000.0,1.07,Promotion
E00089,2024-04-01,G3,923300.0,132400.0,1055700.0,1.21,Annual Review
E00089,2025-04-01,G3,955700.0,104600.0,1060300.0,1.26,Promotion
E00089,2026-04-01,G3,1044600.0,98100.0,1142700.0,1.37,Promotion
E00090,2022-04-01,G4,983400.0,135000.0,1118400.0,0.89,Annual Review
E00090,2023-04-01,G4,1042500.0,101200.0,1143700.0,0.95,Promotion
E00090,2024-04-01,G4,1184200.0,143600.0,1327800.0,1.08,Joining
E00090,2025-04-01,G4,1298600.0,154700.0,1453300.0,1.18,Annual Review
E00090,2026-04-01,G4,1440700.0,243200.0,1683900.0,1.31,Promotion
E00091,2023-12-18,G2,495800.0,29700.0,525600.0,0.95,Joining
E00091,2024-04-01,G2,538100.0,46500.0,584600.0,1.03,Promotion
E00091,2025-04-01,G2,566200.0,35100.0,601200.0,1.09,Promotion
E00091,2026-04-01,G2,608600.0,28400.0,637000.0,1.17,Annual Review
E00092,2023-12-07,G5,1833900.0,263900.0,2097800.0,1.11,Market Correction
E00092,2024-04-01,G5,1927000.0,96000.0,2023000.0,1.17,Promotion
E00092,2025-04-01,G5,2101700.0,365900.0,2467600.0,1.27,Market Correction
E00092,2026-04-01,G5,2202500.0,123700.0,2326200.0,1.33,Annual Review
E00093,2022-04-01,G3,648900.0,48000.0,696900.0,0.85,Market Correction
E00093,2023-04-01,G3,702900.0,37400.0,740300.0,0.92,Joining
E00093,2024-04-01,G3,727500.0,79800.0,807300.0,0.96,Joining
E00093,2025-04-01,G3,760700.0,96700.0,857400.0,1.0,Annual Review
E00093,2026-04-01,G3,799800.0,126700.0,926400.0,1.05,Promotion
E00094,2022-04-01,G1,357500.0,50500.0,408100.0,0.99,Annual Review
E00094,2023-04-01,G1,387700.0,23700.0,411400.0,1.08,Market Correction
E00094,2024-04-01,G1,401900.0,75900.0,477800.0,1.12,Annual Review
E00094,2025-04-01,G1,431900.0,45900.0,477800.0,1.2,Market Correction
E00094,2026-04-01,G1,456200.0,57600.0,513800.0,1.27,Joining
E00095,2026-04-01,G5,1860300.0,245300.0,2105600.0,1.13,Promotion
E00096,2024-04-12,G3,720600.0,102900.0,823500.0,0.95,Market Correction
E00096,2025-04-01,G3,821300.0,88500.0,909800.0,1.08,Joining
E00096,2026-04-01,G3,903800.0,125400.0,1029200.0,1.19,Annual Review
E00098,2022-09-08,G3,856200.0,128100.0,984300.0,1.13,Annual Review
E00098,2023-04-01,G3,940700.0,83000.0,1023700.0,1.24,Joining
E00098,2024-04-01,G3,1045900.0,87100.0,1133100.0,1.38,Annual Review
E00098,2025-04-01,G3,1141000.0,140800.0,1281700.0,1.5,Promotion
E00099,2026-05-17,G2,537400.0,31700.0,569100.0,1.03,Promotion
