Application_ID,Employee_ID,Department,Role,Source,Application_Date,Interview_Date,Offer_Date,Joining_Date,Interview_Score,Assessment_Score,Offer_Accepted,Joined,Recruitment_Cost_INR,Recruiter
A000014,E00007,Supply Chain,Logistics Manager,Internal Mobility,2018-12-17,2019-01-01,2019-01-09,2019-02-09,75,69,Yes,Yes,13952,Recruiter B
A000015,E00008,Marketing,Product Marketing Manager,Campus,2020-10-15,2020-10-29,2020-10-31,2020-12-30,91,51,Yes,Yes,14630,Recruiter D
A000016,,Customer Success,Customer Success Manager,Referral,2017-08-23,2017-09-06,2017-09-11,,59,79,No,No,11969,Recruiter B
A000017,,Customer Success,Customer Success Manager,Job Portal,2017-06-30,2017-07-03,2017-07-09,,89,56,No,No,14915,Recruiter D
A000018,E00009,Customer Success,Customer Success Manager,Company Website,2017-06-29,2017-07-02,2017-07-12,2017-09-18,81,61,Yes,Yes,14731,Recruiter B
A000019,E00010,Finance,Finance Manager,Job Portal,2023-02-26,2023-03-10,2023-03-23,2023-03-25,57,61,Yes,Yes,13673,Recruiter A
A000020,,Finance,Finance Manager,Agency,2023-02-25,2023-03-07,2023-03-15,,89,75,Yes,No,3634,Recruiter C
A000021,,Finance,Finance Manager,Campus,2023-02-16,2023-02-25,2023-02-27,,82,87,No,No,2547,Recruiter D
A000022,E00011,Sales,Key Account Manager,Internal Mobility,2021-09-17,2021-09-29,2021-10-08,2021-11-01,83,94,Yes,Yes,6758,Recruiter A
A000023,,Sales,Key Account Manager,Referral,2021-09-30,2021-10-07,2021-10-12,,57,53,No,No,14908,Recruiter B
A000024,E00012,Finance,Senior Finance Analyst,Agency,2019-03-10,2019-03-24,2019-04-07,2019-06-16,88,84,Yes,Yes,9072,Recruiter D
A000025,,Finance,Senior Finance Analyst,Company Website,2019-04-04,2019-04-22,2019-04-24,,84,55,Yes,No,7856,Recruiter A
A000026,E00013,Technology,Senior Software Engineer,LinkedIn,2017-01-28,2017-02-04,2017-02-14,2017-03-05,70,65,Yes,Yes,12634,Recruiter D
A000027,,Marketing,Marketing Executive,Internal Mobility,2019-06-28,2019-07-02,2019-07-09,,56,74,No,No,6066,Recruiter B
A000028,,Marketing,Marketing Executive,Company Website,2019-06-04,2019-06-17,2019-06-19,,80,83,No,No,14074,Recruiter C
A000029,E00014,Marketing,Marketing Executive,Company Website,2019-06-12,2019-06-26,2019-06-28,2019-09-07,74,68,Yes,Yes,9096,Recruiter C
A000030,,Supply Chain,Planner,Referral,2022-01-24,2022-01-31,2022-02-10,,72,88,No,No,3023,Recruiter B
A000031,E00015,Supply Chain,Planner,Internal Mobility,2022-02-18,2022-02-24,2022-03-04,2022-04-02,59,81,Yes,Yes,10368,Recruiter C
A000032,,Supply Chain,Procurement Specialist,Referral,2017-12-29,2018-01-04,2018-01-17,,71,59,No,No,5097,Recruiter D
A000033,,Supply Chain,Procurement Specialist,Internal Mobility,2018-01-03,2018-01-18,2018-01-27,,94,56,Yes,No,13488,Recruiter B
A000034,E00016,Supply Chain,Procurement Specialist,Campus,2018-02-20,2018-03-06,2018-03-18,2018-03-25,94,67,Yes,Yes,14694,Recruiter B
A000035,E00017,Finance,Senior Finance Analyst,Agency,2024-05-28,2024-06-09,2024-06-14,2024-09-01,65,92,Yes,Yes,9943,Recruiter A
A000036,,Finance,Senior Finance Analyst,Agency,2024-07-24,2024-08-03,2024-08-10,,78,53,No,No,8388,Recruiter C
A000037,,Finance,Senior Finance Analyst,Internal Mobility,2024-06-05,2024-06-08,2024-06-14,,64,84,Yes,No,11638,Recruiter A
A000038,E00018,Supply Chain,Logistics Manager,Agency,2025-05-03,2025-05-17,2025-05-19,2025-08-04,57,67,Yes,Yes,12389,Recruiter A
A000039,E00019,Human Resources,HR Manager,LinkedIn,2019-01-08,2019-01-26,2019-02-09,2019-03-16,86,64,Yes,Yes,17406,Recruiter A
A000040,,Human Resources,HR Manager,Campus,2019-01-09,2019-01-21,2019-01-28,,71,60,Yes,No,5926,Recruiter C
A000041,,Human Resources,HR Manager,Agency,2019-01-09,2019-01-25,2019-02-08,,86,75,No,No,16075,Recruiter D
A000042,,Finance,Finance Analyst,Referral,2024-04-24,2024-04-26,2024-04-30,,75,62,No,No,4810,Recruiter C
A000043,E00020,Finance,Finance Analyst,Company Website,2024-04-12,2024-04-21,2024-05-04,2024-07-17,66,70,Yes,Yes,4308,Recruiter D
A000044,,Finance,Finance Analyst,Referral,2024-05-04,2024-05-17,2024-05-26,,82,53,Yes,No,8225,Recruiter D
A000045,E00021,Customer Success,Customer Success Executive,Job Portal,2019-07-17,2019-07-19,2019-07-21,2019-09-03,70,82,Yes,Yes,14869,Recruiter B
A000046,,Customer Success,Customer Success Executive,Referral,2019-07-20,2019-08-06,2019-08-14,,65,57,No,No,5938,Recruiter B
A000047,E00022,Sales,Key Account Manager,Company Website,2017-09-18,2017-10-04,2017-10-18,2017-12-09,67,66,Yes,Yes,5309,Recruiter B
A000048,E00023,Marketing,Product Marketing Manager,Campus,2018-05-29,2018-06-13,2018-06-18,2018-08-19,89,94,Yes,Yes,4719,Recruiter C
A000049,,Marketing,Product Marketing Manager,Internal Mobility,2018-07-21,2018-08-05,2018-08-19,,78,91,No,No,9266,Recruiter A
A000050,,Marketing,Product Marketing Manager,Job Portal,2018-05-24,2018-06-11,2018-06-17,,66,70,Yes,No,10048,Recruiter A
A000051,,Customer Success,Support Analyst,Agency,2018-09-21,2018-10-07,2018-10-17,,66,73,Yes,No,12016,Recruiter D
A000052,E00024,Customer Success,Support Analyst,Internal Mobility,2018-08-07,2018-08-20,2018-08-30,2018-11-03,79,93,Yes,Yes,6990,Recruiter D
A000053,E00025,Customer Success,Customer Success Manager,Agency,2018-08-23,2018-08-25,2018-09-02,2018-11-14,76,73,Yes,Yes,11300,Recruiter D
A000054,,Supply Chain,Logistics Manager,Referral,2017-11-25,2017-12-10,2017-12-14,,83,81,No,No,15518,Recruiter A
A000055,E00026,Supply Chain,Logistics Manager,Agency,2017-12-30,2018-01-12,2018-01-23,2018-01-24,91,77,Yes,Yes,14690,Recruiter D
A000056,E00027,Operations,Operations Analyst,Job Portal,2021-02-01,2021-02-07,2021-02-11,2021-03-18,64,91,Yes,Yes,9739,Recruiter A
A000057,,Operations,Operations Analyst,Job Portal,2021-02-15,2021-02-17,2021-02-22,,63,54,No,No,3358,Recruiter D
A000058,,Operations,Operations Analyst,LinkedIn,2021-01-02,2021-01-17,2021-01-26,,79,65,Yes,No,11751,Recruiter D
A000059,E00028,Supply Chain,Supply Chain Analyst,Internal Mobility,2025-11-11,2025-11-13,2025-11-24,2026-02-01,55,76,Yes,Yes,15477,Recruiter C
A000060,E00029,Human Resources,HR Executive,Referral,2020-02-12,2020-02-21,2020-03-01,2020-03-23,74,63,Yes,Yes,17250,Recruiter B
A000061,,Human Resources,HR Executive,Company Website,2020-01-06,2020-01-17,2020-01-20,,75,83,No,No,2506,Recruiter D
A000062,E00030,Finance,Finance Analyst,Agency,2016-12-07,2016-12-15,2016-12-26,2017-02-10,63,82,Yes,Yes,15535,Recruiter A
A000063,E00031,Marketing,Digital Marketing Analyst,Campus,2026-06-03,2026-06-06,2026-06-12,2026-07-30,93,71,Yes,Yes,10031,Recruiter C
A000064,E00032,Sales,Sales Analyst,Campus,2021-06-21,2021-06-30,2021-07-03,2021-09-24,66,80,Yes,Yes,12973,Recruiter A
A000065,,Sales,Sales Analyst,Internal Mobility,2021-08-06,2021-08-10,2021-08-24,,69,71,No,No,9967,Recruiter C
A000066,E00033,Supply Chain,Procurement Specialist,Agency,2023-11-21,2023-12-09,2023-12-21,2024-01-04,60,82,Yes,Yes,6239,Recruiter C
A000067,,Supply Chain,Procurement Specialist,Company Website,2023-11-22,2023-11-26,2023-12-09,,91,80,No,No,12777,Recruiter C
A000068,,Supply Chain,Procurement Specialist,Internal Mobility,2023-10-22,2023-11-03,2023-11-13,,67,84,No,No,3772,Recruiter C
A000069,,Human Resources,HR Executive,Job Portal,2022-03-25,2022-03-28,2022-04-03,,60,91,Yes,No,6242,Recruiter B
A000070,E00034,Human Resources,HR Executive,LinkedIn,2022-03-28,2022-04-14,2022-04-25,2022-07-01,92,56,Yes,Yes,7238,Recruiter A
A000071,E00035,Sales,Key Account Manager,Internal Mobility,2021-03-03,2021-03-10,2021-03-15,2021-04-27,67,93,Yes,Yes,17327,Recruiter C
A000072,E00036,Customer Success,Customer Success Executive,Internal Mobility,2024-10-01,2024-10-08,2024-10-13,2025-01-08,71,73,Yes,Yes,15488,Recruiter B
A000073,,Finance,Finance Manager,Job Portal,2021-10-11,2021-10-17,2021-10-21,,81,92,No,No,14202,Recruiter A
A000074,,Finance,Finance Manager,Company Website,2021-08-17,2021-09-03,2021-09-13,,91,73,No,No,4040,Recruiter A
A000075,E00037,Finance,Finance Manager,Agency,2021-10-16,2021-10-31,2021-11-04,2021-11-11,65,77,Yes,Yes,8507,Recruiter A
A000076,,Human Resources,HR Manager,Company Website,2024-05-29,2024-06-12,2024-06-19,,73,59,No,No,7165,Recruiter C
A000077,E00038,Human Resources,HR Manager,LinkedIn,2024-04-27,2024-05-03,2024-05-07,2024-07-17,79,82,Yes,Yes,7812,Recruiter B
A000078,E00039,Human Resources,L&D Specialist,Campus,2022-04-07,2022-04-13,2022-04-15,2022-06-30,58,53,Yes,Yes,11614,Recruiter A
A000079,,Marketing,Product Marketing Manager,Internal Mobility,2026-03-10,2026-03-21,2026-03-28,,84,68,No,No,15342,Recruiter A
A000080,E00040,Marketing,Product Marketing Manager,Job Portal,2026-01-07,2026-01-24,2026-01-31,2026-04-09,59,93,Yes,Yes,3697,Recruiter C
A000081,E00041,Technology,Senior Software Engineer,Referral,2018-01-28,2018-02-13,2018-02-25,2018-02-23,91,85,Yes,Yes,11264,Recruiter C
A000082,,Technology,Senior Software Engineer,LinkedIn,2018-01-13,2018-01-29,2018-01-31,,59,88,Yes,No,13531,Recruiter B
A000083,,Technology,Senior Software Engineer,Referral,2018-01-17,2018-01-23,2018-01-25,,89,91,Yes,No,12775,Recruiter A
A000084,E00042,Finance,Senior Finance Analyst,Company Website,2025-07-19,2025-07-27,2025-08-03,2025-09-11,58,58,Yes,Yes,7333,Recruiter B
A000085,,Supply Chain,Supply Chain Analyst,Agency,2026-04-22,2026-04-29,2026-05-13,,63,54,No,No,14516,Recruiter C
A000086,E00043,Supply Chain,Supply Chain Analyst,Internal Mobility,2026-03-21,2026-04-08,2026-04-17,2026-06-10,80,85,Yes,Yes,3908,Recruiter D
A000087,,Supply Chain,Planner,Internal Mobility,2024-08-16,2024-08-28,2024-08-31,,71,91,No,No,11198,Recruiter D
A000088,E00044,Supply Chain,Planner,Agency,2024-08-12,2024-08-30,2024-09-03,2024-10-06,57,76,Yes,Yes,14518,Recruiter A
A000089,E00045,Customer Success,Customer Success Executive,Company Website,2021-03-25,2021-04-10,2021-04-20,2021-06-04,83,89,Yes,Yes,16610,Recruiter B
A000090,,Customer Success,Customer Success Executive,Company Website,2021-04-11,2021-04-26,2021-05-03,,77,86,No,No,4650,Recruiter B
A000091,E00046,Human Resources,HR Business Partner,LinkedIn,2020-07-01,2020-07-17,2020-07-29,2020-07-30,75,93,Yes,Yes,7810,Recruiter D
A000092,,Technology,Senior Software Engineer,Agency,2019-08-14,2019-08-27,2019-08-30,,60,62,No,No,9756,Recruiter B
A000093,E00047,Technology,Senior Software Engineer,Company Website,2019-09-14,2019-09-29,2019-10-09,2019-11-21,69,51,Yes,Yes,7934,Recruiter A
A000094,,Technology,Senior Software Engineer,Company Website,2019-08-17,2019-08-23,2019-08-26,,59,88,No,No,9416,Recruiter C
A000095,,Sales,Key Account Manager,Referral,2024-11-02,2024-11-14,2024-11-17,,57,84,No,No,8392,Recruiter C
A000096,E00048,Sales,Key Account Manager,Referral,2024-11-29,2024-12-07,2024-12-14,2024-12-27,78,86,Yes,Yes,4052,Recruiter A
A000097,,Sales,Key Account Manager,LinkedIn,2024-10-24,2024-10-28,2024-11-11,,77,67,Yes,No,10803,Recruiter B
A000098,E00049,Marketing,Product Marketing Manager,Campus,2019-03-28,2019-04-01,2019-04-03,2019-05-26,63,71,Yes,Yes,9555,Recruiter D
A000099,,Marketing,Product Marketing Manager,Company Website,2019-04-15,2019-05-01,2019-05-06,,84,82,Yes,No,12048,Recruiter D
A000100,E00050,Customer Success,Support Analyst,Job Portal,2022-08-27,2022-09-11,2022-09-13,2022-10-07,60,56,Yes,Yes,3034,Recruiter C
A000101,,Customer Success,Support Analyst,Job Portal,2022-08-10,2022-08-25,2022-09-08,,95,77,No,No,13172,Recruiter C
A000102,E00051,Customer Success,Customer Success Executive,LinkedIn,2020-04-23,2020-04-26,2020-05-02,2020-06-21,74,87,Yes,Yes,2517,Recruiter D
A000103,E00052,Finance,Finance Manager,LinkedIn,2023-10-18,2023-10-20,2023-10-26,2024-01-04,87,86,Yes,Yes,12223,Recruiter C
A000104,,Finance,Finance Analyst,Company Website,2022-04-29,2022-05-04,2022-05-15,,72,55,No,No,3671,Recruiter D
A000105,E00053,Finance,Finance Analyst,Company Website,2022-04-25,2022-04-30,2022-05-06,2022-05-28,69,57,Yes,Yes,10541,Recruiter A
A000106,,Finance,Finance Analyst,Agency,2022-03-03,2022-03-21,2022-03-29,,72,52,No,No,14538,Recruiter C
A000107,E00054,Customer Success,Customer Success Manager,LinkedIn,2023-06-30,2023-07-02,2023-07-13,2023-10-08,63,79,Yes,Yes,15190,Recruiter C
A000108,E00055,Finance,Finance Analyst,Referral,2024-09-18,2024-09-23,2024-10-06,2024-12-22,95,77,Yes,Yes,6627,Recruiter D
A000109,,Finance,Finance Analyst,Internal Mobility,2024-10-11,2024-10-19,2024-10-28,,85,90,Yes,No,14347,Recruiter C
A000110,E00056,Finance,Finance Manager,Referral,2018-07-01,2018-07-09,2018-07-21,2018-09-23,71,60,Yes,Yes,11751,Recruiter B
A000111,,Finance,Finance Manager,LinkedIn,2018-06-28,2018-07-08,2018-07-14,,73,94,No,No,2726,Recruiter A
A000112,,Finance,Finance Manager,Company Website,2018-07-27,2018-08-10,2018-08-22,,86,71,No,No,12028,Recruiter A
A000113,E00057,Finance,Finance Manager,Internal Mobility,2020-07-31,2020-08-09,2020-08-17,2020-10-17,55,73,Yes,Yes,3992,Recruiter D
A000114,,Finance,Finance Manager,Job Portal,2020-07-18,2020-08-03,2020-08-13,,95,88,No,No,4722,Recruiter B
A000115,,Finance,Finance Manager,LinkedIn,2020-09-01,2020-09-08,2020-09-20,,89,80,No,No,9963,Recruiter C
A000116,E00058,Finance,Finance Analyst,Internal Mobility,2023-02-20,2023-03-09,2023-03-13,2023-04-17,66,78,Yes,Yes,5951,Recruiter A
A000117,,Finance,Finance Analyst,Job Portal,2023-02-28,2023-03-12,2023-03-17,,91,84,Yes,No,3840,Recruiter A
A000118,,Finance,Finance Analyst,Campus,2023-02-19,2023-03-06,2023-03-18,,59,77,Yes,No,16439,Recruiter C
A000119,,Technology,Data Analyst,Referral,2025-12-12,2025-12-16,2025-12-19,,77,71,No,No,17098,Recruiter B
A000120,,Technology,Data Analyst,Job Portal,2025-12-05,2025-12-18,2025-12-31,,60,60,No,No,2818,Recruiter C
A000121,E00059,Technology,Data Analyst,Campus,2025-11-20,2025-12-04,2025-12-16,2026-01-17,63,79,Yes,Yes,12963,Recruiter A
A000122,,Customer Success,Support Analyst,Internal Mobility,2024-04-06,2024-04-22,2024-05-01,,87,53,No,No,14614,Recruiter C
A000123,E00060,Customer Success,Support Analyst,Campus,2024-02-01,2024-02-13,2024-02-15,2024-05-06,83,60,Yes,Yes,9336,Recruiter B
A000124,,Customer Success,Support Analyst,LinkedIn,2024-02-28,2024-03-08,2024-03-17,,80,59,No,No,3385,Recruiter D
A000125,E00061,Finance,Finance Manager,Referral,2017-03-30,2017-04-16,2017-04-27,2017-05-26,89,94,Yes,Yes,10690,Recruiter C
A000126,,Finance,Finance Manager,Internal Mobility,2017-02-27,2017-03-04,2017-03-17,,89,50,No,No,5977,Recruiter C
A000127,,Finance,Finance Manager,LinkedIn,2017-03-17,2017-03-30,2017-04-11,,60,69,No,No,3998,Recruiter C
A000128,E00062,Operations,Team Lead,LinkedIn,2017-02-01,2017-02-15,2017-02-17,2017-03-05,83,72,Yes,Yes,10642,Recruiter D
A000129,,Operations,Team Lead,Company Website,2016-12-24,2017-01-04,2017-01-09,,75,61,No,No,16421,Recruiter D
A000130,,Operations,Team Lead,Job Portal,2017-01-17,2017-01-31,2017-02-11,,82,57,No,No,3378,Recruiter D
A000131,,Sales,Sales Analyst,Campus,2023-10-22,2023-11-01,2023-11-10,,64,52,No,No,17826,Recruiter D
A000132,E00063,Sales,Sales Analyst,Referral,2023-09-24,2023-10-11,2023-10-16,2023-12-08,64,89,Yes,Yes,9049,Recruiter C
A000133,,Sales,Sales Analyst,Campus,2023-10-20,2023-10-28,2023-11-03,,77,54,No,No,6973,Recruiter A
A000134,,Operations,Operations Executive,Job Portal,2023-11-17,2023-12-03,2023-12-16,,72,77,No,No,4110,Recruiter B
A000135,,Operations,Operations Executive,Internal Mobility,2024-01-08,2024-01-22,2024-01-26,,71,79,Yes,No,5809,Recruiter D
A000136,E00064,Operations,Operations Executive,LinkedIn,2023-12-13,2023-12-16,2023-12-26,2024-02-13,78,71,Yes,Yes,14884,Recruiter A
A000137,,Human Resources,HR Executive,Company Website,2019-07-25,2019-08-06,2019-08-19,,95,78,No,No,6417,Recruiter B
A000138,E00065,Human Resources,HR Executive,Campus,2019-07-26,2019-08-05,2019-08-13,2019-08-25,68,75,Yes,Yes,16890,Recruiter D
A000139,,Human Resources,HR Executive,Referral,2019-07-01,2019-07-09,2019-07-19,,77,88,No,No,10940,Recruiter A
A000140,,Marketing,Marketing Executive,LinkedIn,2019-01-20,2019-02-07,2019-02-14,,95,77,Yes,No,2747,Recruiter D
A000141,,Marketing,Marketing Executive,Internal Mobility,2019-03-19,2019-04-01,2019-04-10,,80,79,Yes,No,9092,Recruiter A
A000142,E00066,Marketing,Marketing Executive,Job Portal,2019-01-24,2019-01-30,2019-02-02,2019-04-18,81,75,Yes,Yes,10298,Recruiter C
A000143,E00067,Technology,Software Engineer,Campus,2019-12-11,2019-12-21,2019-12-24,2020-03-14,66,65,Yes,Yes,12175,Recruiter C
A000144,,Technology,Software Engineer,Job Portal,2020-01-20,2020-02-06,2020-02-17,,95,63,Yes,No,15766,Recruiter D
A000145,E00068,Customer Success,Customer Success Manager,LinkedIn,2017-03-06,2017-03-18,2017-03-30,2017-04-10,88,57,Yes,Yes,4485,Recruiter A
A000146,E00069,Technology,Senior Software Engineer,Company Website,2020-11-10,2020-11-16,2020-11-26,2020-12-07,87,62,Yes,Yes,8800,Recruiter A
A000147,E00070,Supply Chain,Supply Chain Analyst,LinkedIn,2026-06-10,2026-06-26,2026-06-28,2026-07-31,83,89,Yes,Yes,7091,Recruiter A
A000148,,Sales,Regional Sales Manager,Internal Mobility,2018-05-19,2018-06-01,2018-06-11,,81,50,No,No,15166,Recruiter A
A000149,,Sales,Regional Sales Manager,Agency,2018-05-17,2018-05-19,2018-05-21,,83,74,No,No,12612,Recruiter C
A000150,E00071,Sales,Regional Sales Manager,LinkedIn,2018-06-22,2018-07-01,2018-07-05,2018-08-02,73,75,Yes,Yes,11840,Recruiter A
A000151,,Customer Success,Support Analyst,Company Website,2025-03-14,2025-03-21,2025-03-27,,64,79,Yes,No,8464,Recruiter D
A000152,E00072,Customer Success,Support Analyst,LinkedIn,2025-04-03,2025-04-14,2025-04-18,2025-06-09,70,68,Yes,Yes,4888,Recruiter C
A000153,,Human Resources,HR Business Partner,Referral,2018-01-06,2018-01-11,2018-01-21,,83,75,No,No,16421,Recruiter C
A000154,E00073,Human Resources,HR Business Partner,Campus,2018-01-10,2018-01-18,2018-01-24,2018-04-11,70,82,Yes,Yes,14364,Recruiter D
A000155,,Human Resources,HR Business Partner,Agency,2018-01-25,2018-02-10,2018-02-18,,90,56,Yes,No,4294,Recruiter A
A000156,E00074,Supply Chain,Supply Chain Analyst,LinkedIn,2023-07-19,2023-07-25,2023-08-04,2023-08-20,89,86,Yes,Yes,14273,Recruiter D
A000157,,Supply Chain,Supply Chain Analyst,Campus,2023-07-23,2023-07-26,2023-08-04,,74,93,No,No,5376,Recruiter A
A000158,,Customer Success,Customer Success Manager,Campus,2023-12-02,2023-12-17,2023-12-29,,87,92,No,No,4060,Recruiter C
A000159,,Customer Success,Customer Success Manager,LinkedIn,2023-12-24,2024-01-01,2024-01-07,,59,51,No,No,15446,Recruiter C
A000160,E00075,Customer Success,Customer Success Manager,Referral,2023-12-27,2024-01-07,2024-01-18,2024-02-19,88,69,Yes,Yes,14530,Recruiter B
A000161,,Sales,Sales Analyst,LinkedIn,2026-04-22,2026-05-09,2026-05-15,,73,86,No,No,10337,Recruiter A
A000162,E00076,Sales,Sales Analyst,Job Portal,2026-02-22,2026-03-04,2026-03-09,2026-05-21,88,65,Yes,Yes,14389,Recruiter B
A000163,,Sales,Sales Analyst,Referral,2026-03-21,2026-04-05,2026-04-19,,94,53,No,No,13676,Recruiter A
A000164,E00077,Human Resources,HR Executive,Agency,2023-08-09,2023-08-26,2023-09-06,2023-10-01,74,53,Yes,Yes,4641,Recruiter C
A000165,E00078,Technology,Data Scientist,Company Website,2017-08-04,2017-08-19,2017-08-31,2017-10-05,61,79,Yes,Yes,15299,Recruiter A
A000166,,Technology,Data Scientist,Campus,2017-07-10,2017-07-25,2017-07-31,,55,70,Yes,No,9072,Recruiter C
A000167,,Technology,Data Scientist,LinkedIn,2017-08-05,2017-08-16,2017-08-22,,90,57,No,No,10219,Recruiter D
A000168,E00079,Customer Success,Customer Success Manager,Job Portal,2017-06-22,2017-07-08,2017-07-13,2017-08-17,66,89,Yes,Yes,5055,Recruiter B
A000169,,Customer Success,Customer Success Manager,Referral,2017-05-23,2017-05-25,2017-06-08,,92,84,No,No,17739,Recruiter A
A000170,,Supply Chain,Logistics Manager,Job Portal,2020-07-19,2020-07-31,2020-08-02,,55,53,Yes,No,16916,Recruiter D
A000171,E00080,Supply Chain,Logistics Manager,LinkedIn,2020-08-20,2020-09-07,2020-09-19,2020-09-29,92,92,Yes,Yes,5842,Recruiter D
A000172,E00081,Technology,Tech Lead,LinkedIn,2023-10-02,2023-10-04,2023-10-07,2023-11-18,94,73,Yes,Yes,7437,Recruiter B
A000173,,Sales,Regional Sales Manager,Job Portal,2023-04-29,2023-05-06,2023-05-17,,65,60,No,No,9147,Recruiter D
A000174,E00082,Sales,Regional Sales Manager,Agency,2023-04-15,2023-04-21,2023-05-04,2023-07-24,72,57,Yes,Yes,7043,Recruiter B
A000175,E00083,Customer Success,Support Analyst,Agency,2018-03-19,2018-03-21,2018-03-28,2018-05-15,81,90,Yes,Yes,10230,Recruiter D
A000176,E00084,Operations,Operations Executive,Referral,2024-10-14,2024-10-30,2024-11-05,2024-11-26,70,74,Yes,Yes,12080,Recruiter A
A000177,E00085,Technology,Tech Lead,Referral,2021-07-10,2021-07-16,2021-07-24,2021-08-22,58,51,Yes,Yes,8269,Recruiter B
A000178,E00086,Operations,Operations Manager,Company Website,2025-12-16,2025-12-21,2026-01-03,2026-03-07,83,94,Yes,Yes,13524,Recruiter A
A000179,,Operations,Operations Manager,Job Portal,2025-11-28,2025-12-01,2025-12-03,,73,61,Yes,No,7893,Recruiter B
A000180,E00087,Operations,Operations Manager,Job Portal,2024-04-29,2024-05-15,2024-05-25,2024-06-20,56,73,Yes,Yes,12109,Recruiter A
A000181,,Operations,Operations Manager,Referral,2024-04-16,2024-04-28,2024-05-07,,72,51,Yes,No,3538,Recruiter D
A000182,,Marketing,Product Marketing Manager,Referral,2021-03-17,2021-03-24,2021-04-02,,95,83,Yes,No,5954,Recruiter D
A000183,E00088,Marketing,Product Marketing Manager,Referral,2021-01-16,2021-02-03,2021-02-06,2021-04-13,76,87,Yes,Yes,4601,Recruiter B
A000184,E00089,Finance,Finance Manager,Agency,2017-07-05,2017-07-09,2017-07-15,2017-09-01,55,94,Yes,Yes,4569,Recruiter D
A000185,E00090,Customer Success,Customer Success Manager,Internal Mobility,2020-02-19,2020-02-23,2020-03-01,2020-03-17,80,62,Yes,Yes,5299,Recruiter B
A000186,,Customer Success,Customer Success Manager,Internal Mobility,2019-12-31,2020-01-16,2020-01-19,,90,79,Yes,No,8228,Recruiter C
A000187,E00091,Human Resources,HR Executive,LinkedIn,2023-09-27,2023-10-06,2023-10-09,2023-12-18,67,76,Yes,Yes,14818,Recruiter B
A000188,E00092,Customer Success,Support Analyst,Agency,2023-09-18,2023-09-30,2023-10-08,2023-12-07,58,89,Yes,Yes,9592,Recruiter A
A000189,E00093,Operations,Operations Analyst,Referral,2020-06-03,2020-06-10,2020-06-22,2020-07-17,95,69,Yes,Yes,10396,Recruiter C
A000190,E00094,Marketing,Product Marketing Manager,Campus,2021-09-14,2021-09-19,2021-09-28,2021-11-11,64,52,Yes,Yes,9036,Recruiter A
A000191,,Marketing,Product Marketing Manager,LinkedIn,2021-09-20,2021-09-28,2021-10-07,,80,51,No,No,17151,Recruiter B
A000192,E00095,Technology,Engineering Manager,LinkedIn,2025-12-11,2025-12-29,2026-01-04,2026-01-06,66,90,Yes,Yes,14375,Recruiter C
A000193,E00096,Customer Success,Support Analyst,Referral,2024-02-06,2024-02-10,2024-02-13,2024-04-12,87,75,Yes,Yes,11977,Recruiter A
A000194,E00097,Marketing,Brand Manager,Agency,2019-07-14,2019-07-31,2019-08-13,2019-08-16,90,61,Yes,Yes,9880,Recruiter D
A000195,E00098,Sales,Sales Executive,Internal Mobility,2022-06-28,2022-07-13,2022-07-20,2022-09-08,64,55,Yes,Yes,17396,Recruiter A
