Employee_ID,Review_Year,Performance_Rating,Goal_Achievement_Pct,Manager_Rating,Potential_Rating,Performance_Band,Succession_Readiness
E00029,2024,2.6,91.6,2.3,Medium,Exceeds,Ready Now
E00030,2022,3.8,99.0,3.8,Medium,Exceeds,Ready 1-2 Years
E00030,2023,3.3,77.7,3.1,Medium,Meets,Not Ready
E00030,2024,3.1,77.1,3.1,Medium,Partially Meets,Ready Now
E00030,2025,3.7,77.7,4.1,Low,Meets,Ready 1-2 Years
E00030,2026,4.0,91.5,4.2,Medium,Partially Meets,Ready 1-2 Years
E00032,2022,4.9,86.5,4.8,Medium,Meets,Ready 1-2 Years
E00032,2023,4.6,75.8,5.0,Medium,Outstanding,Not Ready
E00032,2024,5.0,109.0,5.0,Medium,Outstanding,Not Ready
E00032,2025,4.8,94.3,5.0,Low,Exceeds,Ready Now
E00032,2026,4.5,99.7,4.5,Low,Meets,Ready Now
E00033,2024,3.2,88.7,3.1,Medium,Outstanding,Ready 1-2 Years
E00033,2025,3.9,76.4,3.9,High,Partially Meets,Not Ready
E00033,2026,3.3,85.8,3.1,Medium,Meets,Not Ready
E00034,2023,3.2,92.4,2.7,Low,Meets,Ready Now
E00034,2024,3.2,77.5,3.5,Medium,Partially Meets,Ready Now
E00034,2025,2.9,78.7,3.2,Medium,Outstanding,Ready Now
E00034,2026,2.9,102.3,3.2,Medium,Outstanding,Ready 1-2 Years
E00035,2022,3.1,70.8,2.9,Low,Exceeds,Not Ready
E00035,2023,2.9,85.4,2.8,High,Outstanding,Not Ready
E00035,2024,2.0,65.2,1.9,Low,Exceeds,Not Ready
E00035,2025,2.7,74.7,2.8,Medium,Meets,Ready Now
E00035,2026,3.9,105.0,4.7,Medium,Outstanding,Ready 1-2 Years
E00036,2025,4.5,97.9,4.0,High,Exceeds,Ready 1-2 Years
E00036,2026,3.6,99.1,3.1,High,Outstanding,Ready Now
E00037,2022,2.8,86.8,2.5,Low,Meets,Not Ready
E00037,2023,3.7,94.2,3.5,High,Exceeds,Ready 1-2 Years
E00037,2024,3.6,85.8,3.6,High,Partially Meets,Not Ready
E00037,2025,2.9,90.5,2.7,Medium,Meets,Ready 1-2 Years
E00037,2026,3.5,83.8,3.1,Medium,Outstanding,Ready Now
E00038,2025,3.3,80.9,3.6,Medium,Outstanding,Ready Now
E00038,2026,2.9,78.9,3.3,Low,Meets,Ready Now
E00039,2023,4.3,94.0,3.8,Medium,Meets,Ready Now
E00039,2024,3.9,110.0,4.0,Low,Exceeds,Ready 1-2 Years
E00041,2022,2.5,84.8,2.8,Medium,Partially Meets,Ready 1-2 Years
E00041,2023,2.7,88.2,2.7,Medium,Meets,Not Ready
E00041,2024,2.3,83.4,2.2,Medium,Partially Meets,Not Ready
E00041,2025,2.3,89.4,2.4,Low,Exceeds,Not Ready
E00041,2026,2.5,93.0,2.8,High,Meets,Ready 1-2 Years
E00042,2026,2.7,74.5,3.0,High,Partially Meets,Ready 1-2 Years
E00044,2025,2.8,88.0,2.6,Medium,Partially Meets,Ready 1-2 Years
E00044,2026,3.2,84.9,2.9,Medium,Meets,Ready Now
E00045,2022,3.1,79.0,3.0,Medium,Meets,Ready 1-2 Years
E00045,2023,4.3,79.4,4.6,Medium,Meets,Ready Now
E00045,2024,3.9,73.4,4.1,High,Exceeds,Ready 1-2 Years
E00045,2025,3.2,80.1,2.7,Medium,Meets,Ready Now
E00045,2026,3.4,78.5,3.1,Medium,Meets,Ready Now
E00046,2022,3.2,88.3,3.5,Medium,Outstanding,Ready 1-2 Years
E00046,2023,2.6,73.2,2.9,Medium,Outstanding,Ready Now
E00046,2024,2.7,72.8,2.5,High,Partially Meets,Not Ready
E00046,2025,3.4,76.9,3.0,High,Outstanding,Ready Now
E00046,2026,3.2,90.1,2.8,Low,Meets,Ready Now
E00047,2022,3.5,74.5,3.5,Low,Meets,Not Ready
E00047,2023,3.6,81.7,3.4,Medium,Meets,Ready Now
E00047,2024,3.5,86.7,3.5,Medium,Outstanding,Ready 1-2 Years
E00047,2025,3.4,78.7,3.3,Low,Meets,Ready 1-2 Years
E00047,2026,3.5,90.3,2.9,Medium,Exceeds,Ready 1-2 Years
E00048,2025,3.4,83.6,3.4,Low,Partially Meets,Ready Now
E00048,2026,3.5,90.6,3.6,Medium,Exceeds,Ready Now
E00049,2022,2.8,79.8,2.5,Low,Outstanding,Not Ready
E00049,2023,3.1,89.4,2.7,High,Outstanding,Ready 1-2 Years
E00049,2024,3.7,83.7,3.8,Medium,Partially Meets,Not Ready
E00049,2025,2.9,74.3,2.8,Medium,Exceeds,Ready Now
E00049,2026,3.5,82.3,3.3,Medium,Outstanding,Ready Now
E00050,2023,3.4,66.9,3.4,High,Partially Meets,Not Ready
E00050,2024,2.9,63.8,3.1,Medium,Meets,Ready 1-2 Years
E00050,2025,2.7,94.2,2.2,High,Meets,Not Ready
E00050,2026,3.5,84.9,3.7,High,Outstanding,Ready Now
E00051,2022,3.0,105.1,2.9,Medium,Meets,Ready 1-2 Years
E00051,2023,3.3,67.8,3.3,Medium,Exceeds,Ready Now
E00051,2024,3.2,84.1,3.0,Low,Partially Meets,Not Ready
E00051,2025,2.9,100.6,3.5,High,Outstanding,Ready 1-2 Years
E00051,2026,3.0,88.2,2.7,High,Outstanding,Not Ready
E00052,2024,4.5,85.3,5.0,Medium,Outstanding,Not Ready
E00052,2025,4.4,108.1,4.6,High,Partially Meets,Ready 1-2 Years
E00052,2026,4.4,99.3,3.8,Medium,Meets,Not Ready
E00053,2023,2.6,73.7,2.8,Medium,Meets,Ready Now
E00053,2024,2.7,107.1,2.5,Low,Meets,Ready 1-2 Years
E00053,2025,3.6,94.9,3.6,Medium,Meets,Ready 1-2 Years
E00053,2026,2.6,82.5,2.7,Low,Outstanding,Ready 1-2 Years
E00054,2024,4.2,99.9,4.2,High,Outstanding,Ready 1-2 Years
E00054,2025,4.1,97.8,4.1,Low,Meets,Ready Now
E00055,2025,4.2,80.2,4.1,Low,Outstanding,Not Ready
E00055,2026,3.2,105.5,3.3,Medium,Partially Meets,Not Ready
E00056,2022,3.1,105.9,3.5,Medium,Outstanding,Ready Now
E00056,2023,3.1,73.1,3.2,Medium,Exceeds,Ready Now
E00056,2024,3.4,92.0,3.1,Low,Meets,Ready Now
E00056,2025,2.9,59.6,3.0,High,Meets,Not Ready
E00056,2026,2.4,75.3,1.9,Medium,Partially Meets,Not Ready
E00057,2022,4.2,89.5,4.1,Medium,Partially Meets,Ready Now
E00057,2023,4.3,79.3,3.9,Medium,Outstanding,Ready 1-2 Years
E00057,2024,3.7,84.4,3.7,High,Partially Meets,Ready 1-2 Years
E00057,2025,4.1,64.9,4.4,Medium,Meets,Not Ready
E00057,2026,5.0,111.6,5.0,Low,Outstanding,Ready 1-2 Years
E00058,2024,3.2,90.5,3.3,Medium,Meets,Ready Now
E00058,2025,2.9,106.6,3.1,High,Partially Meets,Ready 1-2 Years
E00058,2026,3.2,83.6,3.0,Medium,Partially Meets,Ready 1-2 Years
E00059,2026,3.9,75.6,4.3,Medium,Meets,Not Ready
E00060,2025,4.1,68.1,5.0,Low,Partially Meets,Ready Now
E00060,2026,3.9,95.2,4.0,Medium,Outstanding,Not Ready
E00061,2022,3.1,87.1,3.0,Medium,Partially Meets,Ready Now
E00061,2023,3.3,102.6,3.6,Medium,Meets,Ready 1-2 Years
E00061,2024,3.1,92.3,2.8,Low,Meets,Ready Now
E00061,2025,3.1,97.2,3.5,High,Meets,Ready 1-2 Years
E00061,2026,2.4,80.5,2.1,High,Exceeds,Not Ready
E00062,2022,3.0,92.1,2.4,High,Outstanding,Ready 1-2 Years
E00063,2024,3.9,77.1,3.7,Medium,Exceeds,Ready 1-2 Years
E00063,2025,4.1,94.0,3.8,Medium,Meets,Ready Now
E00063,2026,4.7,100.8,4.6,Medium,Partially Meets,Not Ready
E00064,2024,3.6,84.4,3.7,Medium,Exceeds,Ready Now
E00064,2025,3.7,90.5,3.4,Medium,Exceeds,Ready Now
E00064,2026,3.7,96.7,3.8,Low,Partially Meets,Ready Now
E00066,2022,3.2,54.8,3.0,Medium,Meets,Ready 1-2 Years
E00066,2023,3.1,88.9,3.2,Low,Outstanding,Ready 1-2 Years
E00066,2024,2.8,87.0,3.3,Low,Partially Meets,Not Ready
E00066,2025,2.8,72.5,2.8,Low,Meets,Ready Now
E00066,2026,2.9,90.2,2.6,Low,Meets,Ready Now
E00067,2022,3.1,103.7,3.1,High,Exceeds,Ready Now
E00067,2023,2.4,79.1,2.2,Medium,Meets,Not Ready
E00067,2024,2.6,70.6,3.2,Medium,Meets,Ready 1-2 Years
E00067,2025,3.8,110.7,3.8,Medium,Partially Meets,Ready Now
E00067,2026,2.8,80.5,3.0,Medium,Outstanding,Ready Now
E00068,2022,3.8,75.7,3.8,Medium,Meets,Ready 1-2 Years
E00068,2023,3.4,74.6,3.9,Medium,Outstanding,Ready 1-2 Years
E00068,2024,3.1,84.9,3.3,Medium,Exceeds,Ready 1-2 Years
E00068,2025,3.6,83.1,3.5,Low,Partially Meets,Ready 1-2 Years
E00069,2022,2.5,85.3,1.8,Medium,Exceeds,Ready 1-2 Years
E00069,2023,3.5,89.1,3.7,Medium,Outstanding,Ready 1-2 Years
E00069,2024,2.8,85.5,2.9,Medium,Outstanding,Ready 1-2 Years
E00069,2025,2.3,69.3,2.3,High,Meets,Ready Now
E00069,2026,1.9,89.5,2.7,Low,Meets,Not Ready
E00071,2022,3.6,66.5,3.1,Medium,Meets,Not Ready
E00071,2023,3.9,89.9,3.7,Medium,Exceeds,Not Ready
E00071,2024,4.2,79.8,4.1,Medium,Exceeds,Ready Now
E00071,2025,3.4,80.3,3.0,Medium,Partially Meets,Not Ready
E00071,2026,3.1,78.6,3.2,Medium,Exceeds,Ready 1-2 Years
E00072,2026,4.9,85.1,4.6,Low,Exceeds,Not Ready
E00074,2024,4.3,93.6,4.3,High,Partially Meets,Ready 1-2 Years
E00074,2025,3.1,67.9,3.4,Low,Partially Meets,Not Ready
E00074,2026,3.6,82.3,4.0,Medium,Exceeds,Ready Now
E00075,2024,3.6,78.1,3.7,Medium,Meets,Not Ready
E00075,2025,2.4,72.8,2.2,Medium,Outstanding,Not Ready
E00075,2026,3.3,61.5,3.5,Medium,Partially Meets,Not Ready
E00077,2024,3.6,77.0,4.1,Medium,Meets,Ready 1-2 Years
E00077,2025,3.3,75.1,3.2,Medium,Meets,Ready 1-2 Years
E00077,2026,2.9,84.7,2.9,Medium,Partially Meets,Not Ready
E00078,2022,3.4,88.5,3.1,Low,Meets,Ready Now
E00078,2023,2.8,90.3,2.9,High,Meets,Ready 1-2 Years
E00078,2024,3.0,91.4,3.6,High,Meets,Ready Now
E00078,2025,3.4,90.9,3.5,Low,Partially Meets,Ready 1-2 Years
E00078,2026,2.3,79.3,2.4,Medium,Partially Meets,Ready 1-2 Years
E00079,2022,4.1,93.1,4.5,Low,Meets,Not Ready
E00079,2023,4.0,94.8,4.3,Medium,Exceeds,Not Ready
E00079,2024,4.4,93.5,4.4,Low,Meets,Not Ready
E00079,2025,4.8,96.3,4.8,Medium,Partially Meets,Not Ready
E00079,2026,3.6,86.4,3.4,Medium,Outstanding,Ready 1-2 Years
E00080,2022,4.1,100.3,3.8,High,Meets,Ready 1-2 Years
E00080,2023,3.3,74.0,3.3,Low,Partially Meets,Ready 1-2 Years
E00080,2024,4.4,79.9,4.1,Medium,Meets,Ready 1-2 Years
E00080,2025,4.3,97.1,4.9,Low,Partially Meets,Ready Now
E00080,2026,3.6,77.9,3.2,High,Outstanding,Ready 1-2 Years
E00081,2024,4.1,91.6,4.5,Medium,Exceeds,Ready Now
E00081,2025,3.9,77.5,4.1,High,Exceeds,Ready 1-2 Years
E00081,2026,4.2,75.6,4.3,Medium,Partially Meets,Not Ready
E00082,2024,3.1,101.5,3.5,Low,Outstanding,Ready Now
E00083,2022,2.9,75.7,3.0,Medium,Outstanding,Ready Now
E00083,2023,3.3,89.4,3.1,Medium,Meets,Ready 1-2 Years
E00083,2024,3.6,80.0,4.0,Medium,Exceeds,Ready 1-2 Years
E00083,2025,2.8,95.7,2.9,Medium,Outstanding,Ready 1-2 Years
E00083,2026,3.5,83.1,2.9,Medium,Partially Meets,Ready 1-2 Years
E00084,2025,4.2,99.0,3.9,High,Outstanding,Not Ready
E00084,2026,4.4,113.5,4.5,Medium,Meets,Ready Now
E00085,2022,3.9,99.0,4.2,Low,Meets,Not Ready
E00085,2023,3.1,90.6,2.7,Low,Outstanding,Not Ready
E00085,2024,3.4,77.4,3.4,Low,Meets,Ready Now
E00085,2025,3.2,76.9,3.4,Medium,Meets,Ready 1-2 Years
E00085,2026,3.5,81.6,3.2,High,Meets,Ready 1-2 Years
E00086,2026,3.4,69.0,3.1,Medium,Exceeds,Not Ready
E00087,2025,3.4,63.0,3.1,Medium,Exceeds,Ready Now
E00087,2026,4.2,87.8,4.5,Medium,Meets,Not Ready
E00088,2022,4.8,99.0,5.0,Medium,Outstanding,Not Ready
E00088,2023,4.7,81.6,5.0,Medium,Outstanding,Ready Now
E00088,2024,4.2,84.1,4.2,High,Exceeds,Not Ready
E00088,2025,4.3,82.1,4.1,Medium,Meets,Ready Now
E00088,2026,4.0,81.6,3.5,High,Meets,Ready Now
E00089,2022,3.1,82.4,3.5,Medium,Outstanding,Ready Now
E00089,2023,3.1,69.3,3.6,High,Exceeds,Ready 1-2 Years
E00089,2024,3.8,81.3,3.6,Medium,Meets,Not Ready
E00089,2025,3.2,76.2,2.7,Medium,Outstanding,Ready Now
E00089,2026,2.7,62.6,2.5,Low,Outstanding,Ready Now
E00090,2022,4.4,85.9,4.8,Medium,Meets,Ready Now
E00090,2023,3.6,107.4,3.4,Medium,Outstanding,Ready Now
E00090,2024,3.6,91.8,3.4,Medium,Meets,Not Ready
E00090,2025,3.5,91.9,3.6,Medium,Exceeds,Ready 1-2 Years
E00090,2026,4.2,93.9,4.0,Medium,Meets,Ready 1-2 Years
E00091,2024,3.1,89.4,3.1,Medium,Exceeds,Not Ready
E00091,2025,4.0,94.0,4.2,Low,Exceeds,Ready 1-2 Years
E00091,2026,3.3,79.5,2.6,Low,Outstanding,Ready Now
E00092,2024,4.1,94.8,4.1,High,Meets,Ready 1-2 Years
E00092,2025,4.2,93.3,4.2,Medium,Partially Meets,Not Ready
E00092,2026,4.2,91.8,4.0,Low,Meets,Ready 1-2 Years
E00093,2022,4.5,90.2,4.4,Medium,Meets,Ready Now
E00093,2023,4.2,92.0,3.6,Medium,Outstanding,Not Ready
E00093,2024,3.5,71.5,3.6,Low,Meets,Not Ready
E00093,2025,3.1,86.2,2.7,Medium,Meets,Ready 1-2 Years
E00093,2026,3.8,92.5,3.7,Low,Partially Meets,Not Ready
E00094,2022,2.0,70.1,2.2,Low,Meets,Ready 1-2 Years
E00094,2023,1.7,63.3,1.9,Medium,Meets,Ready 1-2 Years
E00094,2024,1.9,95.3,2.4,Medium,Exceeds,Not Ready
E00094,2025,1.7,74.1,1.7,Medium,Meets,Ready 1-2 Years
E00094,2026,2.1,78.2,2.0,Medium,Meets,Ready Now
E00095,2026,1.9,76.6,1.8,Medium,Exceeds,Ready Now
E00096,2025,2.4,69.1,2.1,Medium,Exceeds,Not Ready
E00096,2026,2.6,86.5,2.8,Medium,Meets,Not Ready
E00098,2023,3.3,86.4,3.4,Low,Meets,Ready Now
E00098,2024,4.1,96.8,4.5,Medium,Partially Meets,Ready 1-2 Years
E00098,2025,3.7,83.7,3.9,High,Meets,Ready 1-2 Years
E00100,2022,3.2,85.0,2.9,Medium,Meets,Ready 1-2 Years
E00100,2023,4.2,94.1,4.5,Medium,Meets,Not Ready
E00100,2024,3.3,82.1,3.6,Medium,Meets,Not Ready
E00100,2025,3.2,89.4,2.9,Medium,Meets,Not Ready
E00100,2026,3.1,81.1,3.2,Medium,Meets,Not Ready
E00102,2022,3.9,91.9,4.2,Medium,Outstanding,Not Ready
E00103,2022,2.5,75.9,2.5,Medium,Exceeds,Ready Now
E00103,2023,3.0,73.1,3.3,Medium,Exceeds,Not Ready
E00103,2024,2.3,82.3,3.1,Medium,Meets,Ready Now
E00103,2025,2.8,89.1,2.4,Medium,Meets,Ready Now
E00103,2026,2.8,85.1,2.6,Medium,Partially Meets,Ready 1-2 Years
E00104,2022,3.9,100.7,3.8,High,Partially Meets,Not Ready
E00104,2023,4.2,77.5,4.1,Medium,Meets,Ready 1-2 Years
E00104,2024,4.5,88.1,4.0,High,Partially Meets,Not Ready
E00104,2025,4.1,92.4,3.8,Medium,Outstanding,Ready 1-2 Years
E00104,2026,4.1,75.5,4.0,Medium,Partially Meets,Not Ready
E00105,2024,3.6,96.5,3.5,Medium,Meets,Ready Now
E00105,2025,4.2,80.1,4.3,Medium,Meets,Ready Now
E00105,2026,4.0,70.3,4.1,Low,Meets,Ready 1-2 Years
E00106,2022,4.2,84.9,4.9,Medium,Exceeds,Not Ready
E00106,2023,3.7,89.3,3.4,Medium,Outstanding,Ready Now
E00106,2024,3.6,81.9,3.9,Medium,Meets,Ready Now
E00106,2025,3.7,72.7,4.4,Medium,Outstanding,Ready Now
E00106,2026,4.4,90.1,4.9,Medium,Outstanding,Ready Now
E00107,2022,4.7,96.7,4.3,Medium,Exceeds,Ready Now
E00107,2023,4.2,82.2,4.5,Low,Partially Meets,Not Ready
E00107,2024,4.7,112.0,5.0,Medium,Exceeds,Ready Now
E00107,2025,4.8,72.0,4.8,Medium,Meets,Not Ready
E00109,2022,3.6,99.6,3.5,Low,Meets,Not Ready
E00109,2023,3.5,83.2,3.4,Medium,Partially Meets,Not Ready
E00109,2024,3.2,70.6,3.6,Medium,Meets,Ready 1-2 Years
E00109,2025,3.1,78.7,2.9,Low,Meets,Not Ready
E00109,2026,4.3,110.4,4.4,Medium,Meets,Ready Now
E00110,2022,4.0,89.5,4.5,Medium,Meets,Not Ready
E00110,2023,3.9,91.3,3.6,Medium,Meets,Ready Now
E00110,2024,3.5,66.9,2.8,Low,Meets,Ready Now
E00110,2025,3.7,97.6,4.0,Medium,Meets,Ready 1-2 Years
E00110,2026,3.4,87.7,3.8,Medium,Meets,Ready Now
E00111,2022,3.5,84.0,2.9,Medium,Meets,Ready Now
E00111,2023,3.8,94.3,4.2,Low,Outstanding,Not Ready
E00111,2024,3.3,104.0,3.5,Medium,Exceeds,Ready 1-2 Years
E00111,2025,3.0,79.6,2.5,High,Meets,Ready Now
E00111,2026,2.7,82.5,2.5,High,Partially Meets,Ready Now
E00112,2022,4.0,104.2,3.5,Medium,Exceeds,Not Ready
E00112,2023,3.0,89.8,3.2,High,Partially Meets,Ready 1-2 Years
E00112,2024,3.5,74.7,3.5,High,Meets,Not Ready
E00112,2025,3.3,80.4,3.9,Medium,Meets,Ready 1-2 Years
E00112,2026,3.1,76.4,3.1,Medium,Meets,Ready Now
E00113,2023,2.9,73.6,2.8,Medium,Meets,Ready Now
E00113,2024,3.5,90.4,4.1,Low,Outstanding,Ready 1-2 Years
E00113,2025,3.3,82.6,3.4,Low,Outstanding,Ready Now
E00113,2026,3.2,84.5,3.1,Low,Partially Meets,Not Ready
E00116,2022,2.5,69.8,2.4,Low,Meets,Ready 1-2 Years
E00116,2023,1.9,85.4,2.0,Medium,Meets,Not Ready
E00116,2024,2.2,79.5,3.0,Low,Exceeds,Ready 1-2 Years
E00116,2025,1.9,77.2,2.1,Medium,Outstanding,Ready 1-2 Years
E00116,2026,2.7,83.6,2.1,Medium,Partially Meets,Not Ready
E00117,2022,2.6,61.4,2.7,High,Outstanding,Ready 1-2 Years
E00117,2023,3.6,88.1,3.9,Low,Meets,Not Ready
E00117,2024,3.4,84.9,3.3,Low,Meets,Ready 1-2 Years
E00117,2025,3.6,96.0,3.6,High,Outstanding,Not Ready
E00117,2026,3.6,80.7,3.5,Medium,Meets,Ready Now
E00118,2023,3.8,96.4,4.0,Low,Meets,Not Ready
E00118,2024,3.5,86.8,3.8,Low,Meets,Ready Now
E00118,2025,3.6,79.4,3.4,Medium,Meets,Ready 1-2 Years
E00118,2026,3.2,59.6,2.9,Medium,Outstanding,Ready 1-2 Years
E00119,2026,3.7,102.5,4.2,Low,Partially Meets,Ready Now
E00120,2022,3.2,75.3,3.0,Medium,Exceeds,Ready Now
E00120,2023,3.5,81.2,3.0,Medium,Exceeds,Not Ready
E00120,2024,3.7,83.2,3.6,High,Meets,Ready Now
E00120,2025,3.3,90.2,3.4,Medium,Exceeds,Not Ready
E00120,2026,3.6,96.7,3.9,Medium,Meets,Not Ready
E00121,2022,2.3,79.7,2.2,Medium,Outstanding,Ready 1-2 Years
E00121,2023,3.2,87.9,2.9,Low,Meets,Ready Now
