Training_ID,Employee_ID,Course_Name,Training_Date,Training_Hours,Delivery_Mode,Completion_Status,Pre_Assessment_Score,Post_Assessment_Score,Training_Cost_INR
T000041,E00025,Power BI,2024-05-31,4,Classroom,Completed,53,77,6231
T000042,E00025,Cloud Fundamentals,2026-04-05,24,Classroom,Completed,40,47,3642
T000043,E00025,Project Management,2026-05-14,4,Classroom,Completed,44,54,9873
T000044,E00025,Cloud Fundamentals,2024-10-13,16,Blended,Completed,66,74,2458
T000045,E00027,Data Privacy,2025-11-09,12,Blended,Completed,52,80,5609
T000046,E00027,Power BI,2024-01-22,2,Classroom,Completed,75,84,6803
T000047,E00027,Negotiation,2025-05-23,8,Classroom,Completed,68,83,9215
T000048,E00027,GenAI for Business,2024-11-03,24,Online,Completed,52,80,2176
T000049,E00028,Power BI,2026-03-30,6,Blended,Completed,60,79,12264
T000050,E00029,Communication Skills,2024-03-13,16,Classroom,Completed,76,88,3813
T000051,E00031,Python Analytics,2026-08-12,16,Online,Completed,43,51,8119
T000052,E00031,Leadership Essentials,2026-08-30,6,Online,Completed,43,49,14170
T000053,E00033,GenAI for Business,2026-04-18,24,Classroom,Completed,60,80,7897
T000054,E00034,Power BI,2026-01-26,2,Classroom,Completed,70,93,3552
T000055,E00035,Advanced Excel,2024-07-09,12,Classroom,Completed,69,86,3655
T000056,E00035,Power BI,2024-06-19,12,Classroom,Completed,50,76,14313
T000057,E00035,Leadership Essentials,2024-10-29,24,Online,Completed,76,81,14573
T000058,E00035,Python Analytics,2026-01-26,24,Classroom,Completed,66,78,8928
T000059,E00036,Project Management,2025-08-16,16,Online,Completed,65,70,6801
T000060,E00036,Data Privacy,2026-06-15,12,Blended,Completed,61,73,2594
T000061,E00036,Communication Skills,2025-10-09,4,Online,Incomplete,76,85,9277
T000062,E00037,Project Management,2025-06-05,4,Online,Incomplete,40,49,10014
T000063,E00037,GenAI for Business,2026-03-08,16,Online,Completed,65,78,7835
T000064,E00037,Cloud Fundamentals,2025-06-25,8,Online,Completed,64,82,11556
T000065,E00037,Cloud Fundamentals,2025-05-08,16,Blended,Completed,62,90,4453
T000066,E00037,Advanced Excel,2024-02-07,24,Classroom,Incomplete,76,84,5082
T000067,E00038,Project Management,2026-08-30,16,Classroom,Completed,42,66,13756
T000068,E00038,Power BI,2025-02-05,6,Online,Completed,54,61,1936
T000069,E00038,Leadership Essentials,2024-10-07,12,Classroom,Completed,60,84,3633
T000070,E00039,GenAI for Business,2024-05-04,4,Online,Incomplete,51,61,7429
T000071,E00039,Communication Skills,2024-05-19,4,Classroom,Completed,54,77,8704
T000072,E00040,Data Privacy,2026-07-19,6,Classroom,Completed,71,77,2150
T000073,E00040,Project Management,2026-08-04,8,Classroom,Completed,48,64,9983
T000074,E00040,Power BI,2026-06-18,16,Blended,Completed,46,72,11149
T000075,E00040,Python Analytics,2026-08-21,24,Classroom,Completed,78,100,8828
T000076,E00041,GenAI for Business,2025-03-10,6,Classroom,Completed,66,72,2660
T000077,E00041,Cloud Fundamentals,2024-07-08,2,Blended,Completed,77,86,2062
T000078,E00041,Data Privacy,2026-03-20,2,Online,Completed,50,67,14183
T000079,E00042,Negotiation,2025-11-25,4,Blended,Completed,47,59,7780
T000080,E00042,Advanced Excel,2026-03-13,12,Blended,Completed,77,93,12004
T000081,E00043,Python Analytics,2026-07-25,24,Classroom,Completed,46,67,9288
T000082,E00044,Power BI,2025-08-27,2,Blended,Completed,57,70,5039
T000083,E00044,Python Analytics,2025-05-20,6,Online,Incomplete,72,100,13216
T000084,E00044,Advanced Excel,2025-10-20,6,Classroom,Completed,55,83,13181
T000085,E00046,Data Privacy,2024-07-01,8,Classroom,Completed,71,86,8282
T000086,E00046,Cloud Fundamentals,2025-06-13,12,Online,Completed,54,69,8646
T000087,E00046,Negotiation,2024-06-25,4,Blended,Completed,62,76,1570
T000088,E00046,Power BI,2025-12-20,24,Classroom,Completed,76,100,4125
T000089,E00046,Power BI,2024-09-17,24,Online,Completed,57,68,4191
T000090,E00047,Leadership Essentials,2025-01-20,16,Classroom,Completed,57,65,7328
T000091,E00047,Project Management,2025-04-01,8,Blended,Completed,64,92,9373
T000092,E00047,Python Analytics,2024-03-19,12,Blended,Incomplete,53,64,8336
T000093,E00048,Negotiation,2025-01-05,6,Online,Completed,51,69,6322
T000094,E00049,Negotiation,2024-03-25,8,Online,Completed,47,58,13442
T000095,E00049,Project Management,2024-08-21,2,Online,Completed,45,70,7690
T000096,E00049,Power BI,2024-06-03,4,Online,Incomplete,71,93,13436
T000097,E00049,Project Management,2024-09-18,6,Classroom,Completed,54,64,13368
T000098,E00050,Python Analytics,2024-12-05,12,Online,Completed,42,65,10347
T000099,E00050,Power BI,2026-08-16,12,Online,Completed,73,100,10600
T000100,E00050,Negotiation,2024-09-06,12,Blended,Completed,67,79,4506
T000101,E00051,Leadership Essentials,2025-05-09,24,Online,Incomplete,61,66,7216
T000102,E00051,Power BI,2024-09-25,6,Blended,Completed,66,78,13480
T000103,E00051,Data Privacy,2026-01-20,24,Classroom,Completed,74,94,7356
T000104,E00051,Power BI,2026-02-01,8,Blended,Completed,63,77,10046
T000105,E00052,Negotiation,2024-08-17,4,Blended,Completed,56,65,8743
T000106,E00052,Project Management,2025-08-22,4,Classroom,Completed,49,64,10441
T000107,E00052,Power BI,2026-02-07,6,Online,Completed,45,63,9252
T000108,E00052,Advanced Excel,2024-08-22,16,Blended,Completed,78,92,4863
T000109,E00052,Power BI,2025-06-21,6,Online,Incomplete,68,85,3355
T000110,E00054,Data Privacy,2025-02-26,6,Blended,Completed,70,95,4596
T000111,E00055,Negotiation,2025-02-08,12,Blended,Incomplete,75,82,8490
T000112,E00055,GenAI for Business,2025-08-22,12,Classroom,Completed,58,65,5485
T000113,E00055,Data Privacy,2025-07-28,6,Classroom,Completed,58,67,10757
T000114,E00057,Python Analytics,2024-06-16,12,Online,Completed,62,69,14781
T000115,E00058,Data Privacy,2026-08-12,6,Online,Completed,78,100,10873
T000116,E00058,Communication Skills,2025-02-17,6,Classroom,Completed,71,87,8396
T000117,E00058,Power BI,2024-10-07,12,Blended,Completed,58,71,13690
T000118,E00058,Cloud Fundamentals,2026-01-23,16,Blended,Completed,51,73,10371
T000119,E00058,Python Analytics,2024-02-24,6,Classroom,Completed,51,76,8825
T000120,E00059,Project Management,2026-05-03,4,Online,Completed,52,70,8343
T000121,E00059,Project Management,2026-07-13,24,Online,Completed,65,70,9916
T000122,E00059,Data Privacy,2026-03-20,2,Blended,Completed,74,90,5035
T000123,E00060,Negotiation,2026-02-25,24,Blended,Completed,46,73,6091
T000124,E00060,GenAI for Business,2026-08-19,24,Classroom,Completed,75,100,5850
T000125,E00061,GenAI for Business,2026-05-31,6,Classroom,Completed,54,71,4821
T000126,E00061,Python Analytics,2024-12-01,12,Classroom,Completed,51,67,12493
T000127,E00066,Data Privacy,2024-04-01,24,Online,Completed,55,83,8454
T000128,E00066,Data Privacy,2024-02-01,2,Online,Completed,60,79,5315
T000129,E00066,Power BI,2026-06-24,16,Blended,Completed,57,76,14546
T000130,E00066,Project Management,2024-02-03,4,Classroom,Completed,46,70,6261
T000131,E00066,Negotiation,2026-01-03,16,Blended,Incomplete,77,100,10947
T000132,E00067,Leadership Essentials,2025-10-14,4,Blended,Completed,44,70,8097
T000133,E00068,Power BI,2025-04-29,2,Online,Completed,49,71,9818
T000134,E00068,Communication Skills,2024-08-17,4,Blended,Completed,61,86,13321
T000135,E00069,Python Analytics,2024-01-05,4,Blended,Completed,68,87,12949
T000136,E00069,Negotiation,2026-01-08,12,Online,Completed,70,96,4972
T000137,E00069,Power BI,2025-11-02,2,Classroom,Completed,56,78,10270
T000138,E00069,Cloud Fundamentals,2024-12-03,2,Online,Completed,46,66,11053
T000139,E00069,GenAI for Business,2024-05-29,6,Classroom,Completed,69,88,12102
T000140,E00071,GenAI for Business,2025-09-11,8,Online,Completed,45,50,14077
T000141,E00072,Cloud Fundamentals,2025-12-15,24,Blended,Completed,53,77,7489
T000142,E00072,Advanced Excel,2026-05-08,8,Classroom,Completed,68,94,10179
T000143,E00072,Cloud Fundamentals,2025-12-29,2,Blended,Completed,42,62,10502
T000144,E00072,Cloud Fundamentals,2026-07-13,6,Blended,Completed,65,80,1545
T000145,E00072,Python Analytics,2025-08-17,2,Blended,Completed,44,62,4681
T000146,E00074,Project Management,2025-12-17,8,Blended,Completed,69,91,6673
T000147,E00074,Leadership Essentials,2024-09-04,8,Classroom,Completed,42,53,11854
T000148,E00075,Project Management,2025-11-05,6,Classroom,Completed,67,77,5674
T000149,E00075,Advanced Excel,2025-05-07,12,Online,Completed,41,59,9291
T000150,E00075,Negotiation,2026-02-03,4,Classroom,Completed,68,74,4734
T000151,E00076,Python Analytics,2026-06-10,16,Blended,Completed,72,97,9479
T000152,E00076,Cloud Fundamentals,2026-06-11,16,Blended,Incomplete,76,92,11990
T000153,E00076,Power BI,2026-08-05,2,Blended,Completed,51,69,5633
T000154,E00076,Communication Skills,2026-08-28,8,Online,Completed,45,71,8697
T000155,E00077,Communication Skills,2025-01-02,16,Blended,Completed,54,82,2238
T000156,E00077,Leadership Essentials,2024-06-09,6,Online,Completed,51,70,8301
T000157,E00077,Leadership Essentials,2024-12-12,2,Online,Completed,62,67,1794
T000158,E00077,Power BI,2025-03-06,16,Online,Completed,45,71,5968
T000159,E00077,Advanced Excel,2025-03-27,2,Classroom,Completed,42,62,5892
T000160,E00078,GenAI for Business,2024-10-20,8,Blended,Completed,66,75,14904
T000161,E00078,Negotiation,2026-06-09,24,Blended,Completed,71,89,5123
T000162,E00079,Python Analytics,2025-02-13,2,Classroom,Completed,57,81,4682
T000163,E00079,GenAI for Business,2024-02-16,16,Online,Completed,49,76,8910
T000164,E00079,Project Management,2025-09-10,16,Classroom,Incomplete,74,83,5125
T000165,E00079,Advanced Excel,2024-02-04,12,Classroom,Completed,40,46,6618
T000166,E00079,Negotiation,2024-09-11,6,Classroom,Completed,43,53,13560
T000167,E00080,Project Management,2026-03-03,16,Blended,Completed,46,54,13507
T000168,E00081,Data Privacy,2025-08-02,12,Online,Completed,53,71,2288
T000169,E00081,Python Analytics,2025-12-26,4,Online,Completed,74,80,8816
T000170,E00081,Cloud Fundamentals,2024-04-21,24,Online,Completed,66,87,2038
T000171,E00082,Python Analytics,2024-02-22,6,Online,Completed,52,65,2789
T000172,E00083,Leadership Essentials,2025-06-01,6,Classroom,Completed,41,64,1613
T000173,E00083,Data Privacy,2024-04-19,4,Classroom,Completed,75,80,2779
T000174,E00084,Project Management,2025-08-16,8,Online,Completed,53,59,9000
T000175,E00084,Python Analytics,2025-12-13,24,Classroom,Completed,50,61,2124
T000176,E00085,Project Management,2025-09-28,8,Online,Completed,72,93,2158
T000177,E00085,GenAI for Business,2025-04-18,6,Classroom,Completed,65,73,5898
T000178,E00085,Python Analytics,2024-07-08,2,Blended,Incomplete,73,88,7726
T000179,E00085,Leadership Essentials,2024-04-14,16,Online,Completed,50,67,2418
T000180,E00085,Python Analytics,2024-01-28,24,Blended,Completed,60,73,4115
T000181,E00086,Communication Skills,2026-07-02,12,Classroom,Completed,63,69,7430
T000182,E00086,Power BI,2026-06-30,4,Classroom,Completed,41,69,3720
T000183,E00087,Advanced Excel,2024-08-24,16,Online,Completed,42,68,2154
T000184,E00087,Leadership Essentials,2025-12-28,2,Blended,Completed,59,73,12123
T000185,E00087,Cloud Fundamentals,2025-03-27,8,Classroom,Completed,73,95,1567
T000186,E00088,Leadership Essentials,2025-07-17,24,Classroom,Completed,47,58,3059
T000187,E00088,GenAI for Business,2024-12-07,16,Blended,Completed,67,94,11698
T000188,E00090,Communication Skills,2025-01-06,2,Online,Completed,78,99,7783
T000189,E00090,Negotiation,2026-06-24,24,Blended,Completed,47,66,1618
T000190,E00092,Cloud Fundamentals,2024-01-23,24,Classroom,Completed,66,77,14474
T000191,E00092,Power BI,2024-01-08,2,Blended,Completed,58,69,12103
T000192,E00092,Cloud Fundamentals,2026-07-02,24,Online,Completed,76,100,11017
T000193,E00092,Project Management,2024-01-21,12,Online,Completed,51,62,14193
T000194,E00092,GenAI for Business,2026-02-05,8,Blended,Completed,53,66,2089
T000195,E00093,Project Management,2026-06-19,16,Classroom,Completed,60,88,12541
T000196,E00093,Cloud Fundamentals,2024-04-09,16,Classroom,Completed,52,61,9492
T000197,E00093,Communication Skills,2024-12-16,12,Online,Completed,59,87,4804
T000198,E00093,Power BI,2025-11-09,24,Classroom,Incomplete,44,68,11778
T000199,E00094,Power BI,2025-06-29,16,Blended,Completed,75,91,7141
T000200,E00094,Python Analytics,2025-06-04,2,Online,Completed,61,76,8820
T000201,E00094,Leadership Essentials,2025-02-21,16,Online,Completed,50,74,13808
T000202,E00094,Leadership Essentials,2024-12-16,6,Classroom,Completed,54,72,10697
T000203,E00095,Cloud Fundamentals,2026-06-22,4,Online,Completed,41,62,3861
T000204,E00095,Project Management,2026-06-25,16,Blended,Completed,57,63,13557
T000205,E00095,Project Management,2026-06-19,8,Blended,Completed,60,81,11581
T000206,E00098,Cloud Fundamentals,2025-07-11,2,Blended,Completed,78,93,8713
T000207,E00099,Negotiation,2026-07-16,24,Classroom,Completed,54,61,11759
T000208,E00099,Power BI,2026-08-01,6,Online,Completed,42,51,1825
T000209,E00099,Cloud Fundamentals,2026-08-25,4,Online,Completed,74,95,4013
T000210,E00099,Communication Skills,2026-07-26,12,Blended,Completed,68,79,2081
T000211,E00100,Project Management,2025-11-13,16,Online,Completed,44,56,12610
T000212,E00100,GenAI for Business,2026-06-24,16,Blended,Completed,55,80,11277
T000213,E00100,Project Management,2024-12-02,12,Online,Completed,42,68,9847
T000214,E00101,Communication Skills,2026-08-09,6,Blended,Completed,43,56,12409
T000215,E00101,Power BI,2026-08-14,2,Online,Completed,76,100,2529
T000216,E00101,GenAI for Business,2026-08-15,24,Classroom,Completed,70,89,11619
T000217,E00101,Data Privacy,2026-08-16,6,Classroom,Completed,40,45,2903
T000218,E00103,Leadership Essentials,2025-12-05,24,Blended,Completed,44,61,11910
T000219,E00103,Project Management,2025-03-06,8,Classroom,Incomplete,40,49,3910
T000220,E00103,Advanced Excel,2024-06-13,4,Blended,Completed,64,77,3580
T000221,E00103,Communication Skills,2024-05-06,8,Online,Incomplete,69,97,8817
T000222,E00105,Power BI,2024-04-27,4,Blended,Completed,70,75,14783
T000223,E00105,Leadership Essentials,2024-06-28,8,Online,Completed,73,84,9799
T000224,E00105,Data Privacy,2026-04-05,6,Classroom,Completed,41,59,4803
T000225,E00106,Advanced Excel,2026-02-01,6,Online,Completed,57,85,11780
T000226,E00107,GenAI for Business,2025-08-16,2,Classroom,Completed,72,89,7227
T000227,E00109,Negotiation,2025-04-15,6,Classroom,Completed,53,80,8805
T000228,E00110,GenAI for Business,2025-09-11,16,Classroom,Completed,60,76,13673
T000229,E00110,Communication Skills,2026-06-17,8,Blended,Incomplete,64,89,13326
T000230,E00110,Leadership Essentials,2025-12-21,2,Classroom,Completed,71,83,2278
T000231,E00110,Data Privacy,2024-08-11,8,Classroom,Completed,45,54,11789
T000232,E00111,Cloud Fundamentals,2026-05-25,12,Online,Completed,64,79,4451
T000233,E00111,Data Privacy,2026-02-18,4,Online,Completed,47,56,1601
T000234,E00112,Power BI,2024-06-16,2,Online,Completed,43,69,12574
T000235,E00112,Cloud Fundamentals,2026-07-27,12,Blended,Incomplete,62,86,6312
T000236,E00112,Cloud Fundamentals,2024-11-07,12,Blended,Completed,67,84,10278
T000237,E00112,GenAI for Business,2024-11-08,12,Classroom,Completed,41,61,13456
T000238,E00112,Communication Skills,2026-08-02,2,Classroom,Completed,49,62,2380
T000239,E00113,Project Management,2026-06-25,8,Classroom,Completed,67,80,14103
T000240,E00113,Advanced Excel,2024-11-23,16,Online,Completed,40,58,14584
T000241,E00113,Power BI,2025-03-22,12,Blended,Completed,66,75,2049
T000242,E00116,Communication Skills,2025-12-17,4,Blended,Completed,54,73,10974
T000243,E00116,Leadership Essentials,2026-03-09,2,Classroom,Completed,75,81,8254
T000244,E00116,Communication Skills,2024-05-19,16,Online,Completed,41,53,9212
T000245,E00116,Advanced Excel,2026-02-21,8,Blended,Completed,63,89,9460
T000246,E00116,Data Privacy,2025-11-29,4,Classroom,Completed,57,78,7816
T000247,E00117,Data Privacy,2024-03-31,6,Online,Completed,67,87,5997
T000248,E00117,Advanced Excel,2026-08-29,12,Online,Completed,45,55,7234
T000249,E00117,Advanced Excel,2024-05-17,24,Blended,Incomplete,46,68,6256
T000250,E00118,Leadership Essentials,2026-02-11,16,Blended,Completed,49,59,3542
T000251,E00118,Power BI,2025-05-29,6,Online,Completed,59,83,11589
T000252,E00119,Cloud Fundamentals,2026-02-26,16,Classroom,Completed,57,78,8612
T000253,E00119,Advanced Excel,2025-09-29,6,Blended,Incomplete,77,100,9859
T000254,E00120,Data Privacy,2024-04-14,8,Blended,Completed,60,72,10935
T000255,E00120,Python Analytics,2026-07-13,24,Blended,Completed,42,47,5166
T000256,E00120,Leadership Essentials,2026-03-19,4,Online,Completed,72,81,13211
T000257,E00120,Negotiation,2025-11-28,12,Classroom,Completed,69,97,11121
T000258,E00121,Leadership Essentials,2024-02-06,8,Online,Completed,78,100,12443
T000259,E00121,Negotiation,2026-07-28,24,Blended,Completed,57,77,14107
T000260,E00121,Project Management,2026-01-03,2,Classroom,Completed,50,68,7026
T000261,E00122,Project Management,2026-08-14,16,Classroom,Completed,62,67,7376
T000262,E00122,Negotiation,2026-08-05,4,Online,Completed,62,81,2834
T000263,E00122,Cloud Fundamentals,2026-08-09,2,Online,Completed,75,82,8368
T000264,E00122,Cloud Fundamentals,2026-08-14,2,Online,Completed,58,81,11470
T000265,E00122,Project Management,2026-06-28,8,Online,Completed,70,93,4553
T000266,E00123,Data Privacy,2024-09-10,4,Blended,Completed,47,72,11327
T000267,E00123,Project Management,2026-08-24,24,Online,Completed,67,85,4044
T000268,E00123,Project Management,2025-05-21,4,Blended,Completed,60,85,1923
T000269,E00123,Communication Skills,2026-04-07,16,Online,Completed,59,73,12999
T000270,E00124,Python Analytics,2025-03-11,2,Classroom,Completed,58,75,5592
T000271,E00124,Project Management,2024-08-26,8,Blended,Completed,43,58,10376
T000272,E00124,Advanced Excel,2025-03-17,4,Blended,Completed,76,87,3735
T000273,E00125,Python Analytics,2026-03-02,4,Blended,Completed,68,77,2607
T000274,E00125,Data Privacy,2026-02-01,4,Blended,Completed,63,84,13159
T000275,E00125,Power BI,2025-10-11,2,Blended,Completed,72,89,12894
T000276,E00126,Data Privacy,2025-02-22,2,Classroom,Completed,74,90,5459
T000277,E00126,Communication Skills,2024-10-29,16,Online,Completed,72,92,8941
T000278,E00127,GenAI for Business,2025-12-25,2,Blended,Completed,50,77,3562
T000279,E00127,Negotiation,2026-05-04,4,Blended,Completed,74,100,5789
T000280,E00127,Advanced Excel,2026-05-06,4,Classroom,Completed,43,64,6938
T000281,E00127,Project Management,2025-04-15,16,Classroom,Completed,61,70,13674
T000282,E00128,Cloud Fundamentals,2024-06-06,12,Blended,Completed,68,88,10676
T000283,E00128,Data Privacy,2026-05-19,2,Online,Completed,58,83,6441
T000284,E00128,Data Privacy,2025-06-20,8,Classroom,Completed,65,76,4679
T000285,E00128,Project Management,2025-09-14,6,Online,Completed,66,90,13861
T000286,E00131,Communication Skills,2025-02-14,2,Online,Completed,41,62,6580
T000287,E00131,Cloud Fundamentals,2026-06-03,4,Online,Completed,52,57,1692
T000288,E00131,Data Privacy,2024-06-20,2,Classroom,Completed,47,66,3220
T000289,E00131,Power BI,2026-06-17,8,Classroom,Completed,59,73,7052
T000290,E00132,Leadership Essentials,2026-07-11,12,Blended,Completed,51,59,5788
T000291,E00132,Advanced Excel,2024-06-07,12,Online,Completed,74,94,6841
T000292,E00133,Cloud Fundamentals,2024-03-18,16,Blended,Completed,49,74,11375
T000293,E00133,Power BI,2024-01-02,4,Classroom,Completed,50,65,11929
T000294,E00133,Leadership Essentials,2024-02-10,2,Online,Completed,41,55,7528
T000295,E00134,Data Privacy,2024-07-25,24,Online,Incomplete,40,54,4556
T000296,E00134,GenAI for Business,2025-12-19,16,Online,Completed,73,96,2919
T000297,E00134,GenAI for Business,2025-11-29,2,Classroom,Completed,77,99,13708
T000298,E00134,Data Privacy,2026-05-08,8,Classroom,Completed,55,68,9602
T000299,E00134,Data Privacy,2025-03-08,16,Classroom,Completed,72,97,11748
T000300,E00135,Cloud Fundamentals,2024-03-04,16,Online,Completed,46,65,7826
T000301,E00135,Leadership Essentials,2025-02-01,4,Online,Completed,54,61,8704
T000302,E00135,Python Analytics,2024-12-01,24,Online,Completed,45,51,11941
T000303,E00135,Leadership Essentials,2024-09-23,2,Classroom,Completed,69,97,8670
T000304,E00135,Python Analytics,2025-03-01,8,Online,Completed,42,52,12887
T000305,E00136,Advanced Excel,2026-07-19,6,Online,Completed,77,96,9589
T000306,E00136,Data Privacy,2024-04-17,8,Blended,Completed,61,80,3677
T000307,E00136,Python Analytics,2024-10-11,8,Blended,Completed,55,73,10616
T000308,E00137,Python Analytics,2025-06-12,24,Online,Completed,65,72,4795
T000309,E00139,GenAI for Business,2025-01-19,8,Online,Completed,61,77,3604
T000310,E00139,Project Management,2024-08-03,12,Blended,Completed,60,72,2631
T000311,E00139,GenAI for Business,2024-09-03,8,Blended,Completed,50,76,5372
T000312,E00139,Advanced Excel,2024-02-10,24,Classroom,Completed,47,54,11430
T000313,E00139,GenAI for Business,2026-04-20,24,Blended,Completed,46,55,4774
T000314,E00140,GenAI for Business,2026-03-24,8,Online,Incomplete,51,71,12756
T000315,E00140,Leadership Essentials,2025-01-18,8,Classroom,Completed,47,66,5578
T000316,E00144,Negotiation,2025-03-30,12,Blended,Completed,66,85,12665
T000317,E00144,Python Analytics,2025-07-21,6,Online,Completed,61,71,7609
T000318,E00144,Leadership Essentials,2025-01-11,12,Online,Completed,58,71,12171
T000319,E00144,Data Privacy,2024-09-23,24,Online,Completed,43,64,3706
T000320,E00145,Project Management,2026-01-09,12,Online,Completed,66,91,7011
T000321,E00145,Project Management,2025-08-09,12,Blended,Completed,67,93,7757
T000322,E00145,Negotiation,2025-08-20,2,Online,Completed,45,58,9649
T000323,E00145,Negotiation,2026-06-02,2,Online,Completed,77,85,9149
T000324,E00145,Power BI,2024-06-13,8,Blended,Completed,55,62,2335
T000325,E00147,Data Privacy,2025-11-06,4,Classroom,Completed,60,67,11672
T000326,E00147,Python Analytics,2025-07-02,12,Blended,Completed,60,70,9917
T000327,E00147,Data Privacy,2025-04-05,8,Blended,Completed,43,57,7621
T000328,E00148,Cloud Fundamentals,2024-01-08,6,Classroom,Incomplete,47,57,7491
T000329,E00148,Communication Skills,2026-06-25,12,Online,Completed,78,97,5766
T000330,E00148,Python Analytics,2026-07-23,6,Online,Completed,52,65,2803
T000331,E00149,Power BI,2026-08-26,16,Classroom,Completed,74,79,4959
T000332,E00149,Advanced Excel,2026-08-31,12,Blended,Completed,63,91,4387
T000333,E00150,Power BI,2025-03-06,4,Classroom,Incomplete,65,72,11557
T000334,E00150,Power BI,2026-03-21,12,Blended,Completed,47,63,14952
T000335,E00150,Communication Skills,2025-03-30,8,Blended,Completed,42,54,6404
T000336,E00150,Advanced Excel,2025-12-15,24,Blended,Completed,50,76,13315
T000337,E00150,Python Analytics,2026-03-18,4,Classroom,Completed,40,57,13955
T000338,E00151,Python Analytics,2026-07-18,24,Classroom,Completed,54,81,14915
T000339,E00151,Project Management,2026-05-30,16,Classroom,Completed,77,94,5851
T000340,E00151,Communication Skills,2025-06-13,2,Classroom,Completed,58,77,6200
T000341,E00151,Communication Skills,2026-05-03,24,Blended,Completed,48,73,3695
T000342,E00153,Power BI,2024-09-30,4,Classroom,Completed,68,75,14933
T000343,E00153,Cloud Fundamentals,2025-03-02,16,Online,Completed,47,60,11105
T000344,E00153,Advanced Excel,2025-09-01,6,Classroom,Completed,75,85,8054
T000345,E00153,Python Analytics,2025-10-27,24,Blended,Completed,69,78,13881
T000346,E00155,Advanced Excel,2026-05-22,24,Blended,Completed,59,79,7622
T000347,E00155,GenAI for Business,2025-12-10,12,Blended,Completed,41,60,6020
T000348,E00156,Data Privacy,2024-08-18,12,Online,Completed,65,77,14815
T000349,E00156,Python Analytics,2025-03-07,6,Blended,Completed,43,64,11756
T000350,E00156,Leadership Essentials,2024-03-17,8,Blended,Completed,60,78,12531
T000351,E00156,Project Management,2025-06-09,12,Blended,Completed,40,62,3031
